url,followers,following,tweets,account_created,account_age_days,tweet_activity,followers_max_growth,followers_max_loss,tweets_max_growth,tweets_max_loss,error
https://twitter.com/getskip_,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/solvemate_HQ,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/sponsokit?lang=en,77,114,353,2015-06-03,3501,0.1,3,-6,0,0,
https://twitter.com/SPREADai,72,149,108,2019-05-17,2057,0.05,9,-2,10,0,
https://twitter.com/SpooningCookie,139,80,126,2018-08-13,2334,0.05,14,-19,38,-1,
https://twitter.com/StackFuelHQ,117,101,74,2018-02-21,2507,0.03,1,-1,1,-1,
https://mobile.twitter.com/sqinapp,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/mysolytic,139,225,62,2017-07-28,2715,0.02,1,-2,0,0,
https://twitter.com/startupinsid_er,10237,1413,3277,2012-02-21,4699,0.7,65,-130,11,-28,
https://www.twitter.com/swocket,215,418,343,2015-01-30,3625,0.09,1,-3,1,-3,
https://twitter.com/superizzyai,186,340,206,2016-03-20,3210,0.06,2,-3,0,-1,
https://twitter.com/Taledocom,1382,204,2530,2015-03-05,3591,0.7,7,-19,7,-1,
https://twitter.com/TalonOne,286,296,246,2017-04-07,2827,0.09,14,-25,13,-1,
https://twitter.com/synergist_io,432,2293,119,2015-05-26,3509,0.03,22,-45,0,-1,
https://twitter.com/stomt,354,520,1045,2012-01-31,4720,0.22,4,-4,5,-7,
https://twitter.com/techgdpr,490,219,525,2017-12-13,2577,0.2,,,,,
https://twitter.com/joinsteady,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/testxchangeHQ,49,310,266,2017-08-15,2697,0.1,,,,,
https://twitter.com/tellonym?lang=en,23202,2,527,2016-04-03,3196,0.16,381,56,19,-1,
https://twitter.com/wearethinkit,155,200,227,2017-09-07,2674,0.08,7,-17,16,0,
https://twitter.com/female_company?lang=en,391,245,78,2018-01-03,2556,0.03,14,-16,0,-2,
https://twitter.com/tapglue,1079,1173,323,2015-01-04,3651,0.09,5,-23,0,-1,
https://www.twitter.com/thebinaschool,173,348,362,2020-06-10,1667,0.22,5,-6,8,0,
https://www.twitter.com/tandemhq,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/theprepared,3734,246,2531,2008-05-14,6077,0.42,193,-123,130,-11,
https://twitter.com/tillhub_pos,98,193,154,2015-10-12,3370,0.05,,,,,
https://www.twitter.com/timbleus,73,137,356,2015-08-02,3441,0.1,3,-6,0,-2,
https://twitter.com/tourlane_dev,69,26,20,2017-11-25,2595,0.01,2,-2,0,0,
https://twitter.com/tnxlogistics,147,227,139,2016-07-13,3095,0.04,4,-4,0,0,
https://twitter.com/tomorrowbio,1329,279,1695,2020-08-05,1611,1.05,3,-48,3,-48,
https://twitter.com/thryve_health,208,78,39,2018-04-09,2460,0.02,4,-5,1,0,
https://twitter.com/treffen18,9,20,27,2019-04-10,2094,0.01,2,-3,0,0,
https://twitter.com/traderepublicDE,6,1,1,2024-08-01,154,0.01,0,0,0,0,
https://twitter.com/timelessinvest_,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/Trueken_DE,17,38,7,2018-05-03,2436,0.0,1,-1,0,0,
https://twitter.com/tierscooters,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/ultiai,716,177,612,2016-09-21,3025,0.2,62,-12,31,-2,
http://twitter.com/uberchord,2038,1920,1107,2013-11-09,4072,0.27,2,-42,3,-1,
https://www.twitter.com/twentybn,1174,618,507,2016-05-11,3158,0.16,119,-65,8,-3,
https://twitter.com/digitaltwinn,82,32,201,2018-02-13,2515,0.08,15,-5,7,-2,
https://twitter.com/UnicornBerlin,1031,768,1442,2015-08-31,3412,0.42,3,-11,2,-5,
https://twitter.com/upvest,707,155,226,2017-12-20,2570,0.09,109,-6,18,-6,
https://www.twitter.com/twylahelps,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/vay_io,242,79,48,2021-07-20,1262,0.04,38,-42,5,-1,
https://twitter.com/vaitrade,149,717,352,2017-08-04,2708,0.13,15,-24,8,-1,
https://twitter.com/valsight,140,132,219,2015-01-29,3626,0.06,6,-10,0,-3,
https://twitter.com/vara_ai,255,738,94,2019-11-18,1872,0.05,11,-22,10,0,
https://twitter.com/vehiculumcoin,19,11,3,2018-08-03,2344,0.0,1,-1,0,0,
https://www.twitter.com/uniwhere,275,0,0,2013-03-24,4302,0.0,9,-8,0,0,
https://twitter.com/VAHAzone,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/valendoDE,,,,,,,,,,,Failed after proxy rotation
