Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Innovate UK,https://www.crunchbase.com/organization/innovate-u-k-,"Entrepreneurship Program, Venture Capital","1,087",66,"Swindon, Wiltshire, United Kingdom",Grant,"Innovate UK holds funding competitions for businesses and research organizations in sectors, including emerging technologies.","Europe, Middle East, and Africa (EMEA)",1959-07-01,day,http://www.innovateuk.gov.uk,https://www.linkedin.com/company/innovateuk,872,799,28
SFC Capital,https://www.crunchbase.com/organization/startup-funding-club,"Angel Group, Micro VC",631,18,"Northwich, Cheshire, United Kingdom","Early Stage Venture, Seed",Early-stage investor combining its own angel syndicate & seed funds to provide investors with diversified exposure to SEIS/EIS businesses.,"Europe, Middle East, and Africa (EMEA)",2012-08-24,day,http://www.sfccapital.com/,https://www.linkedin.com/company/sfccapital,472,214,2
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"Accelerator, Micro VC, Venture Capital",606,68,"London, England, United Kingdom","Early Stage Venture, Seed",Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.,"Europe, Middle East, and Africa (EMEA)",2007-05-01,day,http://www.seedcamp.com,http://www.linkedin.com/company/seedcamp_2,418,82,2
Startupbootcamp,https://www.crunchbase.com/organization/startupbootcamp,Accelerator,604,45,"London, England, United Kingdom","Early Stage Venture, Grant, Initial Coin Offering, Non Equity Assistance, Seed, Venture",Startupbootcamp is a global network of industry-focused startup accelerators that provides investment and mentorship services.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.startupbootcamp.org,https://www.linkedin.com/company/startupbootcamp,584,52,1
Entrepreneur First,https://www.crunchbase.com/organization/entrepreneur-first,"Accelerator, Venture Capital",451,33,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Entrepreneur First brings ambitious founders together to build globally important technology companies.,"Europe, Middle East, and Africa (EMEA)",2011-09-01,day,http://www.joinef.com,https://www.linkedin.com/company/2340783,343,118,
Pitch@Palace,https://www.crunchbase.com/organization/pitchpalace,Entrepreneurship Program,401,29,"London, England, United Kingdom",Non Equity Assistance,"Pitch@Palace focuses on the benefits for entrepreneurs, as they take no stake in the participants and impose no restrictions.","Europe, Middle East, and Africa (EMEA)",2014-04-01,day,http://pitchatpalace.com,https://www.linkedin.com/company/pitch-palace,398,22,1
LocalGlobe,https://www.crunchbase.com/organization/localglobe,"Micro VC, Venture Capital",397,69,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",LocalGlobe is a venture capital firm that focuses on seed and impact investments.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,http://www.localglobe.vc,https://www.linkedin.com/company/localglobe,287,118,5
Outlier Ventures,https://www.crunchbase.com/organization/outlier-ventures-ltd-llp,Accelerator,327,5,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",The World's Leading Open Metaverse Accelerator and Web3 Investor,"Europe, Middle East, and Africa (EMEA)",2014-06-25,day,https://www.outlierventures.io,https://www.linkedin.com/company/outlierventures,326,52,1
Ascension,https://www.crunchbase.com/organization/ascension-ventures-limited,"Micro VC, Venture Capital",294,23,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Ascension is an early-stage VC built by exited entrepreneurs to back the next generation of tech and impact founders.,"Europe, Middle East, and Africa (EMEA)",2012-09-01,day,https://www.ascension.vc,https://www.linkedin.com/company/ascensionvc,197,55,
Development Bank of Wales,https://www.crunchbase.com/organization/development-bank-of-wales,"Government Office, Micro VC",272,28,"Cardiff, Cardiff, United Kingdom","Debt, Early Stage Venture, Grant, Seed, Venture",Development Bank of Wales provides flexible finance for businesses based in Wales.,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,https://developmentbank.wales/,https://www.linkedin.com/company/development-bank-of-wales/,216,163,4
The FSE Group,https://www.crunchbase.com/organization/finance-south-east,Micro VC,210,9,"Camberley, Surrey, United Kingdom","Early Stage Venture, Seed",The FSE Group provides tailored funding solutions and support for ambitious and innovative small and medium enterprises.,"Europe, Middle East, and Africa (EMEA)",2002-01-01,day,http://www.thefsegroup.com,https://www.linkedin.com/company/the-fse-group/,178,159,
Bethnal Green Ventures,https://www.crunchbase.com/organization/bethnal-green-ventures,"Accelerator, Venture Capital",198,3,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Bethnal Green Ventures (BGV) is Europe’s leading early stage tech for good VC.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://bethnalgreenventures.com/apply,http://www.linkedin.com/company/bethnal-green-ventures,162,31,
DigitalHealth.London Accelerator,https://www.crunchbase.com/organization/digitalhealth-london-accelerator,Accelerator,195,24,"London, England, United Kingdom",Seed,"The Accelerator aims to speed up development of digital innovations across health and care, and pioneer their adoption by the NHS.","Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://digitalhealth.london/accelerator/,https://www.linkedin.com/company/digitalhealth.london,195,120,2
Haatch,https://www.crunchbase.com/organization/haatch,Accelerator,184,2,"Stamford, Lincolnshire, United Kingdom","Early Stage Venture, Seed",We accelerate Pre-Seed B2B SaaS companies to their first £1m ARR and build the infrastructure to get to £10m+.,"Europe, Middle East, and Africa (EMEA)",2013-09-01,day,http://www.haatch.com,http://www.linkedin.com/company/haatch,120,80,
Passion Capital,https://www.crunchbase.com/organization/passion-capital,Micro VC,183,24,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Passion Capital is an early stage venture capital firm based in London.,"Europe, Middle East, and Africa (EMEA)",2011-03-28,day,https://www.passioncapital.com/,http://www.linkedin.com/company/passion-capital,94,40,
Hackquarters,https://www.crunchbase.com/organization/hackquarters-startup-launchpad,"Accelerator, Corporate Venture Capital, Startup Competition",181,3,"London, England, United Kingdom",Seed,Hackquarters is an accelerator and incubator firm.,"Europe, Middle East, and Africa (EMEA)",2015-11-21,day,http://www.hackquarters.co,https://www.linkedin.com/company/hackquarters/,169,71,
7percent Ventures,https://www.crunchbase.com/organization/7-percent,"Micro VC, Venture Capital",154,12,"London, England, United Kingdom","Crowdfunding, Early Stage Venture, Seed, Venture","Ex-founders turned VCs, 7percent invests in early stage transformative and deep-tech startups and teams with moonshot ambitions.","Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://www.7pc.vc/,https://www.linkedin.com/company/7pcventures,110,15,
Pario Ventures,https://www.crunchbase.com/organization/pario-ventures,"Accelerator, Venture Capital",143,20,"London, England, United Kingdom","Crowdfunding, Debt, Early Stage Venture, Grant, Late Stage Venture, Post-Ipo, Seed, Venture","Pario works with entrepreneurs, CEOs, to identify and implement an exit strategy for the founder or shareholders including investment","Europe, Middle East, and Africa (EMEA)",2010-11-11,day,http://www.parioventures.com,https://www.linkedin.com/company/pario-ventures/,135,7,8
ACF Investors,https://www.crunchbase.com/organization/angel-cofund,"Angel Group, Government Office",141,20,"Sheffield, Sheffield, United Kingdom","Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",ACF Investors is a UK based venture capital fund that co-invests alongside syndicates of sector-smart angel investors.,"Europe, Middle East, and Africa (EMEA)",2011-11-01,day,https://www.acfinvestors.com,https://www.linkedin.com/company/angel-cofund/,104,42,4
Kreos Capital,https://www.crunchbase.com/organization/kreos-capital,"Venture Capital, Venture Debt",138,62,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Private Equity",Kreos Capital is a growth debt firm that provides financing solutions for high-growth companies across Europe and Israel.,"Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.kreoscapital.com,https://www.linkedin.com/company/kreos-capital,117,56,30
Founders Factory,https://www.crunchbase.com/organization/founders-factory,"Accelerator, Incubator",134,16,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Grant, Seed",Founders Factory builds and funds startups together with exceptional entrepreneurs and the world's leading companies.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://foundersfactory.com/,https://www.linkedin.com/company/foundersfactory,128,47,
Oxford Technology Management,https://www.crunchbase.com/organization/oxford-technology-management,"Micro VC, Venture Capital",133,20,"Oxford, Oxfordshire, United Kingdom","Early Stage Venture, Seed",Oxford Technology Management specializes in making and managing investments in start-up and early stage technology-based businesses.,"Europe, Middle East, and Africa (EMEA)",1983-01-01,year,http://www.oxfordtechnology.com,https://www.linkedin.com/company/oxford-technology-management/,96,9,4
Cambridge Angels group,https://www.crunchbase.com/organization/cambridge-angels-group,Angel Group,127,17,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture","The Cambridge Angels are a group of high-net worth investors who have proven experience as successful entrepreneurs in internet, software,","Europe, Middle East, and Africa (EMEA)",1999-01-01,year,http://cambridgeangels.com,https://www.linkedin.com/company/cambridge-angels,103,21,2
RebelBio,https://www.crunchbase.com/organization/rebelbio-eu,Accelerator,127,2,"London, England, United Kingdom","Early Stage Venture, Seed","RebelBio is SOSV’s London based pre-seed venture capital program. It invests in BioTech, HealthTech & Life Sciences.","Europe, Middle East, and Africa (EMEA)",2014-05-03,day,https://rebelbio.co/,https://www.linkedin.com/company/11054369/,72,,
SyndicateRoom,https://www.crunchbase.com/organization/syndicateroom,"Micro VC, Venture Capital",124,7,"Cambridge, Cambridgeshire, United Kingdom","Early Stage Venture, Seed",VC fund that builds diversified portfolios of 50+ startups by co‑investing with some of the UK’s best-performing angel investors.,"Europe, Middle East, and Africa (EMEA)",2013-09-21,day,http://www.syndicateroom.com,http://www.linkedin.com/company/syndicate-room,109,11,1
Connect Ventures,https://www.crunchbase.com/organization/connect-ventures,"Micro VC, Venture Capital",122,18,"London, England, United Kingdom",Seed,"Connect Ventures invests in the best product-led companies in Europe at seed stage. Categories: Consumer, Health, Fintech, SaaS","Europe, Middle East, and Africa (EMEA)",2012-01-01,day,http://www.connectventures.co/,https://www.linkedin.com/company/connect-ventures/,88,68,
Midven,https://www.crunchbase.com/organization/midven,Micro VC,119,27,"Birmingham, Birmingham, United Kingdom","Early Stage Venture, Late Stage Venture, Private Equity, Seed","Midven is a specialist venture capital company providing investment to fast growing small and medium sized enterprises (SMEs), run by an","Europe, Middle East, and Africa (EMEA)",1991-01-01,year,https://midven.co.uk/,http://www.linkedin.com/company/midven,108,48,1
London Co-Investment Fund,https://www.crunchbase.com/organization/london-co-investment-fund,Accelerator,119,13,"London, England, United Kingdom","Early Stage Venture, Seed","London Co-Investment Fund is a venture firm that invests in high growth tech, science, and digital startups in London.","Europe, Middle East, and Africa (EMEA)",2014-12-04,day,http://lcif.co/,,102,9,
Wayra UK,https://www.crunchbase.com/organization/wayra-uk,"Accelerator, Corporate Venture Capital",114,5,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Grant, Seed, Venture","Wayra UK provides access to networks and capital, turning start-ups into scale-ups.","Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.wayra.uk,https://www.linkedin.com/company/wayra-uk,85,6,
QVentures,https://www.crunchbase.com/organization/q-ventures,"Angel Group, Family Investment Office, Micro VC, Venture Capital",114,11,"London, England, United Kingdom","Crowdfunding, Early Stage Venture, Late Stage Venture, Seed, Venture",QVentures is a Venture Capital firm providing direct investment opportunities and fund management.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.qventures.co,https://www.linkedin.com/company/q-ventures,110,37,1
Playfair Capital,https://www.crunchbase.com/organization/playfair-capital,"Micro VC, Venture Capital",113,10,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Playfair is a generalist VC fund with a contrarian approach to pre-seed technology investing.,"Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://playfair.vc,https://www.linkedin.com/company/playfair-vc/,73,26,
Social Tech Trust,https://www.crunchbase.com/organization/nominet-trust,"Micro VC, Venture Capital",113,3,"Oxford, Oxfordshire, United Kingdom","Early Stage Venture, Grant",Social Tech Trust is a UK's leading dedicated investor of socially motivated tech.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://socialtechtrust.org/,https://www.linkedin.com/company/social-tech-trust,110,31,
Hoxton Ventures,https://www.crunchbase.com/organization/hoxton-ventures,"Micro VC, Venture Capital",110,16,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Hoxton Ventures is an early-stage European venture capital firm,"Europe, Middle East, and Africa (EMEA)",2013-11-26,day,https://www.hoxton.vc,https://www.linkedin.com/company/hoxton-ventures,72,49,3
Midlands Engine Investment Fund,https://www.crunchbase.com/organization/midlands-engine-investment-fund,"Venture Capital, Venture Debt",104,2,"Sheffield, Sheffield, United Kingdom","Debt, Early Stage Venture, Seed, Venture",MEIF is an investment firm that operates equity and debt investment towards growth capital.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://meif.co.uk/,https://www.linkedin.com/showcase/midlands-engine-investment-fund/,97,79,1
Upscale,https://www.crunchbase.com/organization/upscale,Accelerator,104,24,"London, England, United Kingdom","Debt, Early Stage Venture, Seed, Venture",Upscale helps the UK’s most promising tech companies to accelerate their growth and unlock the key to scaling successfully.,"Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://technation.io/programmes/upscale/,,104,1,
University of Cambridge Enterprise,https://www.crunchbase.com/organization/university-of-cambridge-enterprise,"University Program, Venture Capital",103,4,"Cambridge, Cambridgeshire, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Cambridge Enterprise helps the University of Cambridge's researchers & academics to commercialise their ideas for the benefit of society.,"Europe, Middle East, and Africa (EMEA)",2006-01-01,year,https://www.enterprise.cam.ac.uk/,https://www.linkedin.com/company/cambridge-enterprise,66,38,1
Advanced Propulsion Centre UK,https://www.crunchbase.com/organization/advanced-propulsion-centre-uk,"Accelerator, Government Office",102,26,"Coventry, Coventry, United Kingdom",,The Advanced Propulsion Centre was created by the Automotive Council to help companies turn low carbon technologies into products.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://www.apcuk.co.uk/,https://www.linkedin.com/company/3761682/,97,94,14
Newable Private Investing,https://www.crunchbase.com/organization/newable-private-investing,"Angel Group, Micro VC",100,10,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Newable Ventures is a private investment group that connects early-stage investors with high-growth scale-up companies.,"Europe, Middle East, and Africa (EMEA)",1982-01-01,year,https://newable.co.uk/ventures,https://www.linkedin.com/company/london-business-angels/,79,24,
Equity Gap,https://www.crunchbase.com/organization/equity-gap,Angel Group,99,3,"Edinburgh, Edinburgh, City of, United Kingdom","Seed, Venture",Equity Gap is a group of private individuals set up to invest in and support emerging and growing businesses.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,https://www.equitygap.co.uk,https://www.linkedin.com/company/equity-gap,45,44,
Pi Labs,https://www.crunchbase.com/organization/pi-labs-2,"Accelerator, Venture Capital",97,9,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed",Pi Labs is the VC backing the innovators who are transforming our relationship with the built world.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.pilabs.vc,https://www.linkedin.com/company/pi-labs-ltd-,79,36,
Worth Capital,https://www.crunchbase.com/organization/worth-capital,"Micro VC, Venture Capital",97,2,"London, England, United Kingdom",Seed,Worth Capital - nurturing the brands of tomorrow,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://worthcapital.uk/,https://www.linkedin.com/company/worth-capital/,39,33,
Claret Capital Partners,https://www.crunchbase.com/organization/harbert-european-growth-capital,Venture Debt,96,33,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Venture",Claret Capital Capital (formally Harbert European Growth Capital) provides growth debt to European tech and life-science businesses.,"Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.claret-capital.com/,https://www.linkedin.com/company/claret-capital-partners/,92,19,4
Imperial Innovations,https://www.crunchbase.com/organization/imperial-innovations,University Program,96,21,"London, England, United Kingdom",,Imperial Innovations is a technology commercialization and venture capital investor that focuses on technology.,"Europe, Middle East, and Africa (EMEA)",1986-01-01,year,https://www.imperial.tech,http://www.linkedin.com/company/imperial-innovations,58,48,3
Angels Den,https://www.crunchbase.com/organization/angels-den,Angel Group,91,4,"London, England, United Kingdom","Early Stage Venture, Seed",Angels Den is an angel-led crowdfunding platform.,"Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.angelsden.com,http://www.linkedin.com/company/angels-den,78,2,
Concept Ventures,https://www.crunchbase.com/organization/concept-vc,"Micro VC, Venture Capital",82,2,"London, England, United Kingdom","Early Stage Venture, Seed","Concept Ventures is the UK's largest dedicated pre-seed fund, supporting founders building software for any vertical .","Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://conceptventures.vc,https://www.linkedin.com/company/conceptvc/,72,35,
Flashpoint,https://www.crunchbase.com/organization/flashpointvc,"Secondary Purchaser, Venture Capital, Venture Debt",80,9,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Secondary Market, Seed, Venture",Flashpoint is an international asset management firm investing in tech businesses.,"Europe, Middle East, and Africa (EMEA)",2012-04-12,day,http://www.flashpointvc.com/,https://www.linkedin.com/company/flashpointvc,49,48,
Collider,https://www.crunchbase.com/organization/collider,Accelerator,80,2,"London, England, United Kingdom",Seed,Collider is a supercharging startups and accelerating brands dedicated to marketing and advertising tech startups.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.collider.io,https://www.linkedin.com/company/collideraccelerator/,64,48,
NPIF - FW Capital Debt Finance,https://www.crunchbase.com/organization/npif-fw-capital-debt-finance,Venture Debt,79,3,"Birmingham, Birmingham, United Kingdom",Debt,NPIF - FW Capital Debt Finance is a fund managed by FW Capital and part of the Northern Powerhouse Investment Fund .,"Europe, Middle East, and Africa (EMEA)",,,https://fwcapital.co.uk/northern-powerhouse-investment-fund-debt-finance,,74,69,
Level39,https://www.crunchbase.com/organization/level39,Entrepreneurship Program,78,9,"London, England, United Kingdom",,"The world's most connected community for finance, cybersecurity, retail and smart-city technology businesses.","Europe, Middle East, and Africa (EMEA)",2013-03-18,day,https://www.level39.co/,https://www.linkedin.com/company/level39/,78,1,1
Pentech Ventures,https://www.crunchbase.com/organization/pentech-ventures,Micro VC,78,18,"Edinburgh, Edinburgh, City of, United Kingdom","Early Stage Venture, Seed",Pentech Ventures is a venture capital fund focused on finding category defining software companies.,"Europe, Middle East, and Africa (EMEA)",2001-07-12,day,https://pentech.vc/,https://www.linkedin.com/company/pentech-ventures-llp/,40,27,
Kelvin Capital,https://www.crunchbase.com/organization/kelvin-capital,"Angel Group, Syndicate",77,,"Glasgow, Glasgow City, United Kingdom","Early Stage Venture, Private Equity",We invest venture capital in to globally ambitious companies which have the potential to deliver a significant return to our investors,"Europe, Middle East, and Africa (EMEA)",2009-01-01,day,https://www.kelvincapital.com/,https://www.linkedin.com/company/kelvin-capital/,29,34,
Archangels,https://www.crunchbase.com/organization/archangel-informal-investments-limited,Angel Group,75,10,"Edinburgh, Edinburgh, City of, United Kingdom","Early Stage Venture, Grant, Late Stage Venture, Seed, Venture",Archangel Informal Investments is a business angel syndicate that invests and mentors startups and early stage companies.,"Europe, Middle East, and Africa (EMEA)",1992-01-01,year,http://www.archangelsonline.com,https://www.linkedin.com/company/archangel-investors-limited,38,41,
Old College Capital,https://www.crunchbase.com/organization/old-college-capital,"University Program, Venture Capital",74,2,"Edinburgh, Edinburgh, City of, United Kingdom",Early Stage Venture,Old College Capital is the venture investment arm of the University of Edinburgh providing growth and development finance into start-ups.,"Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://edinburgh-innovations.ed.ac.uk/venture-investment,https://www.linkedin.com/company/old-college-capital-lp/,48,3,
True.,https://www.crunchbase.com/organization/trueglobal,"Accelerator, Private Equity Firm, Venture Capital",71,5,"London, England, United Kingdom","Early Stage Venture, Private Equity, Seed",True is a consumer-focused investment and innovation firm reimagining what good business looks like.,"Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.true.global,https://www.linkedin.com/company/truegloballive/,62,12,
Microsoft Accelerator London,https://www.crunchbase.com/organization/microsoft-ventures-accelerator-london-3,Accelerator,71,5,"London, England, United Kingdom",Early Stage Venture,Microsoft Accelerator London offers collaborative workspaces for budding startups located in the heart of tech city in london.,"Europe, Middle East, and Africa (EMEA)",,,https://www.microsoftaccelerator.com/locations/london,,71,1,
Fasanara Capital,https://www.crunchbase.com/organization/fasanara-capital,"Accelerator, Hedge Fund, Venture Capital",69,2,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","Fasanara Capital is an independent, owner-managed alternative asset management company.","Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://www.fasanara.com,https://www.linkedin.com/company/fasanara-capital,49,47,
iStarter,https://www.crunchbase.com/organization/istarter,Accelerator,64,9,"London, England, United Kingdom","Crowdfunding, Early Stage Venture, Seed",iStarter is the Italian angel-led start-up accelerator based in London.,"Europe, Middle East, and Africa (EMEA)",2012-07-07,day,http://www.istarter.it,http://www.linkedin.com/company/2689375,62,27,1
Hotspur Capital,https://www.crunchbase.com/organization/hotspur-capital,"Micro VC, Venture Capital",62,5,"London, England, United Kingdom","Seed, Venture",Hotspur Capital is a financial organization.,"Europe, Middle East, and Africa (EMEA)",,,,,37,2,
Oxford University Innovation,https://www.crunchbase.com/organization/oxford-university-innovation,"University Program, Venture Capital, Venture Debt",61,5,"Oxford, Oxfordshire, United Kingdom","Debt, Early Stage Venture",Oxford University Innovation manages the university’s technology transfer and consulting activities.,"Europe, Middle East, and Africa (EMEA)",1987-01-01,year,https://innovation.ox.ac.uk/,https://www.linkedin.com/company/oxford-university-innovation/,56,10,
TRICAPITAL,https://www.crunchbase.com/organization/tweed-renaissance-investors-capital,"Accelerator, Angel Group, Venture Capital",59,4,"Melrose, Scottish Borders, The, United Kingdom","Convertible Note, Early Stage Venture, Seed, Venture",TRICAPITAL is an experienced business angel syndicate based in Scotland. Portfolio of innovative companies with high growth potential.,"Europe, Middle East, and Africa (EMEA)",2004-01-01,year,http://www.tricapital.co.uk,https://www.linkedin.com/company/tricapital/,35,16,
Charlotte Street Capital,https://www.crunchbase.com/organization/charlotte-street-capital,"Micro VC, Venture Capital",59,7,"London, England, United Kingdom",Seed,Charlotte Street Capital is a Early-Stage Venture Capital Firm.,"Europe, Middle East, and Africa (EMEA)",2011-01-01,year,http://www.charlottestreetcapital.com,https://www.linkedin.com/company/charlotte-street-capital/,56,9,1
Albion Capital Group,https://www.crunchbase.com/organization/albion-ventures,"Micro VC, Venture Capital",59,12,"London, England, United Kingdom",Early Stage Venture,Albion Capital Group is an independent investment manager with a long-term record of backing change and growth.,"Europe, Middle East, and Africa (EMEA)",1996-01-01,year,https://www.albion.capital/,http://www.linkedin.com/company/albion-ventures-llp,31,12,1
BetaDen,https://www.crunchbase.com/organization/betaden,Accelerator,56,,"Malvern, Worcestershire, United Kingdom","Early Stage Venture, Grant, Seed",BetaDen is an award-winning program that provides real help for real tech to accelerate.,"Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.beta-den.com,https://www.linkedin.com/company/betaden,56,56,
Enterprise Ventures,https://www.crunchbase.com/organization/enterprise-ventures-limited,Micro VC,55,13,"Preston, Lancashire, United Kingdom","Early Stage Venture, Seed",Enterprise Ventures is a Preston-based venture capital that provides early-stage finance to SMEs in England and Wales.,"Europe, Middle East, and Africa (EMEA)",1996-01-01,year,https://www.evgroup.uk.com,,48,12,5
Green Angel Ventures,https://www.crunchbase.com/organization/green-angel-syndicate,Angel Group,54,2,"London, England, United Kingdom","Early Stage Venture, Seed",We invest in the businesses with the solutions to beat climate change.,"Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.greenangelsyndicate.com/,https://www.linkedin.com/company/green-angel-syndicate/,37,24,
FW Capital,https://www.crunchbase.com/organization/fw-capital,"Micro VC, Venture Capital",53,7,"Liverpool, Liverpool, United Kingdom",Debt,FW Capital is a fund management company making commercial investments in businesses with strong growth potential.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.fwcapital.co.uk,http://www.linkedin.com/company/fw-capital,52,31,1
Sustainable Ventures,https://www.crunchbase.com/organization/sustainable-ventures,"Accelerator, Incubator, Venture Capital",52,5,"London, England, United Kingdom",Seed,"Sustainable Ventures helps climate startups and entrepreneurs scale through investment, workspaces and venture support: from beermat to exit","Europe, Middle East, and Africa (EMEA)",2011-07-06,day,http://www.sustainableventures.co.uk,https://www.linkedin.com/company/sustainable-venture-development-partners,52,3,
The Twenty Minute VC,https://www.crunchbase.com/organization/the-twenty-minute-vc,Micro VC,52,5,"London, England, United Kingdom","Seed, Venture","TheTwentyMinuteVC is a twenty-minute VC podcast about finance, business development, and investment.","Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.thetwentyminutevc.com,https://www.linkedin.com/company/the-twenty-minute-vc/,48,7,
BOOST&Co,https://www.crunchbase.com/organization/boost-co,Venture Debt,52,15,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo",BOOST&Co provides debt solutions to innovative SMEs in Europe.,"Europe, Middle East, and Africa (EMEA)",2011-08-11,day,http://boostandco.com/,https://www.linkedin.com/company/boost&co,51,32,2
Social and Sustainable Capital,https://www.crunchbase.com/organization/social-and-sustainable-capital,"Venture Capital, Venture Debt",51,1,"London, England, United Kingdom",Debt,Social and Sustainable Capital operates as an investment firm.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://socialandsustainable.com/,https://www.linkedin.com/company/3963156?trk=prof-0-ovw-curr_pos,39,2,
Clarendon Fund Managers,https://www.crunchbase.com/organization/clarendon-fund-managers,"Micro VC, Venture Capital",50,3,"Belfast, Belfast, United Kingdom",Early Stage Venture,Clarendon Fund Managers is a venture capital fund manager focused on co-investments with business angel and private investor lead deals.,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.clarendon-fm.co.uk,https://www.linkedin.com/company/clarendon-fund-managers-limited/about/,39,7,1
Angel Academe,https://www.crunchbase.com/organization/angel-academe,Angel Group,48,1,"London, England, United Kingdom",Seed,"Angel Academe helps female founders and co-founders access a unique pool of engaged, mainly female investors.","Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.angelacademe.com,https://www.linkedin.com/company/angel-academe,40,12,
Angel Investment Network,https://www.crunchbase.com/organization/angel-investment-network-ltd,"Angel Group, Venture Capital",48,7,"London, England, United Kingdom","Convertible Note, Crowdfunding, Early Stage Venture, Late Stage Venture, Seed, Venture","Angel Investment Network angel investment platform, funding platform, startup investment, entrepreneurs, angel investors,","Europe, Middle East, and Africa (EMEA)",2004-08-03,day,https://www.angelinvestmentnetwork.co.uk/,https://www.linkedin.com/company/angel-investment-network,47,19,
Data Pitch,https://www.crunchbase.com/organization/data-pitch,Accelerator,48,7,"London, England, United Kingdom",Seed,Data Pitch is a startup accelerator that brings together established businesses and startups to meet challenges with data.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://datapitch.eu/,,47,24,
Geovation,https://www.crunchbase.com/organization/geovation-2,"Accelerator, Co-Working Space, Micro VC",45,1,"London, England, United Kingdom","Grant, Seed",Geovation is a company that helps entrepreneurs to develop their ideas and projects from their earliest stages.,"Europe, Middle East, and Africa (EMEA)",2009-01-01,year,https://geovation.uk,https://www.linkedin.com/showcase/15153845/,45,28,
Imperial Create Lab,https://www.crunchbase.com/organization/imperial-create-lab,"Incubator, University Program",45,4,"London, England, United Kingdom",,"Imperial Create Lab brings together the innovators, makers and game-changers to hack, learn and build things that matter.","Europe, Middle East, and Africa (EMEA)",,,https://www.imperialcollegeunion.org/activities/imperial-create-lab,,45,,
