Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Travis Perkins BreakThru,https://www.crunchbase.com/organization/travis-perkins-breakthru,Accelerator,,,"London, England, United Kingdom",,Travis Perkins BreakThru is your chance to collaborate via an 11-week accelerator programme.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://travisperkinsbreakthru.com/,,,,
Catalyst for Education,https://www.crunchbase.com/organization/catalyst-for-education,Accelerator,,,"London, England, United Kingdom",Grant,Catalyst for Education accelerator matches startups from around the world with challenges put forward by Pearson teams.,"Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://catalyst.pearson.com,http://www.linkedin.com/company/pearson-plc,,,
The Food Foundry UK,https://www.crunchbase.com/organization/the-food-foundry,Incubator,,,"London, England, United Kingdom",,"The Food Foundry strives to build a food system that is profitable, just, and sustainable.","Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://thefoodfoundry.uk/,https://www.linkedin.com/company-beta/10111149/,,,
Sente Mobility,https://www.crunchbase.com/organization/sente-mobility-4-investment-program,Accelerator,,,"London, England, United Kingdom",,Sente Mobility is a program designed to take early-stage international mobility startups to scale-up.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://www.sente.link/mobility,https://www.linkedin.com/company/sente,,,
Octave 7,https://www.crunchbase.com/organization/octave-7,"Accelerator, Angel Group, Incubator, Venture Capital",,,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Octave 7 advise pre-seed and seed top-tiers tech founders solving the world's hardest challenges and help them unlock their full potential.,"Europe, Middle East, and Africa (EMEA)",2021-01-01,month,,,,,
Clean + Cool,https://www.crunchbase.com/organization/clean-cool,Accelerator,,,"London, England, United Kingdom",,Clean + Cool is a Global Business Innovation Programme for clean and sustainability technology entrepreneurs.,"Europe, Middle East, and Africa (EMEA)",,,https://cleanandcool.org/,,,,
Hatch Incubator,https://www.crunchbase.com/organization/hatch-incubator,"Accelerator, Incubator",,,"Brixton, Lambeth, United Kingdom",,"Enterprise Incubator based in Lambeth, UK","Europe, Middle East, and Africa (EMEA)",,,http://www.hatch-incubator.org,https://www.linkedin.com/company/hatch-enterprise-uk,,,
XLR8R,https://www.crunchbase.com/organization/xlr8r-vc,"Accelerator, Venture Capital",,,"London, England, United Kingdom",Early Stage Venture,"XLR8R invests in startups and early stage businesses by providing capital, mentorship and resources to accelerate growth.","Europe, Middle East, and Africa (EMEA)",2020-07-01,month,https://www.xlr8r.vc/,https://www.linkedin.com/company/xlr8r-vc/,,,
RGU Startup Accelerator,https://www.crunchbase.com/organization/rgu-startup-accelerator,Accelerator,,,"Aberdeen, Aberdeen City, United Kingdom",Seed,"The RGU Startup Accelerator offers teams of students, staff or alumni access to a five-month, mentor-led development programme.","Europe, Middle East, and Africa (EMEA)",,,https://www.rgu.ac.uk/business-innovation/innovation-rgu/supporting-entrepreneurship/startup-accelerator,,,,
Comoving Coordinates,https://www.crunchbase.com/organization/comoving-coordinates,Angel Group,,,"London, England, United Kingdom",,Venture development and angel investment firm.,"Europe, Middle East, and Africa (EMEA)",2018-01-01,year,http://cc.ventures,,,,
Venturr,https://www.crunchbase.com/organization/venturr,Accelerator,,,"London, England, United Kingdom",,"Venturr is an Accelerator, Mentor & Network for Data & Analytics startups.","Europe, Middle East, and Africa (EMEA)",,,http://venturr.com/,https://www.linkedin.com/company/venturr/,,,
IMPACT Methodology Cohort 2020,https://www.crunchbase.com/organization/impact-methodology-cohort-2020,Accelerator,,,"London, England, United Kingdom",,IMPACT Methodology Cohort 2020 assist entrepreneurs with value creation inside their companies.,"Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://www.f6s.com/impactmethodologycohort2020/about,https://www.linkedin.com/company/f6s,,,
Geovation Spring '20 - PropTech,https://www.crunchbase.com/organization/geovation-spring-20-proptech,Accelerator,,,"London, England, United Kingdom",,Geovation Spring '20 - PropTech supports innovative technology businesses to revolutionize the property industry.,"Europe, Middle East, and Africa (EMEA)",,,https://www.f6s.com/geovationspring20-proptech/about,https://www.linkedin.com/company/f6s,,,
MeWe360,https://www.crunchbase.com/organization/mewe360,Incubator,,,"London, England, United Kingdom",,MeWe360 is a vibrant non-profit incubator working with entrepreneurs in the creative industries,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.mewe360.com/,https://www.linkedin.com/company/2744374,,,
LDN_LAB,https://www.crunchbase.com/organization/ldn-lab,"Accelerator, Incubator",,,"London, England, United Kingdom",,LDN_LAB is a incubator that offers a range of benefits and opportunities for tech startups that focuses on the development of a community.,"Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://ldnlab.splashthat.com/,https://www.linkedin.com/company/splashthat-com,,,
Launch Academy North East,https://www.crunchbase.com/organization/launch-academy-north-east,Accelerator,,,"Blyth, Nottinghamshire, United Kingdom",,The Cleantech Offshore Renewables Accelerator is the Launch Academy programme specifically for the North East of England.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://ore.catapult.org.uk/research-innovation/strategic-programmes/launch-academy-north-east/,https://www.linkedin.com/company/cgt-catapult,,,
Nuvem Ventures,https://www.crunchbase.com/organization/nuvem-ventures,"Accelerator, Venture Capital",,,"London, England, United Kingdom","Early Stage Venture, Seed","By uniting company building and venture capital, Nuvem Ventures launches, scale, and transforms ideas into world-class SaaS businesses.","Europe, Middle East, and Africa (EMEA)",2016-07-07,day,https://www.nuvemventures.com,,,,
Wayra & Novartis Health Call,https://www.crunchbase.com/organization/wayra-novartis-health-call,Accelerator,,,"London, England, United Kingdom",Seed,Wayra & Novartis Health Call scale start-ups.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.wayra.co.uk/programs/wayra-novartis-health-call,https://www.linkedin.com/company/wayra-uk,,,
London Food Tech Startup Accelerator,https://www.crunchbase.com/organization/london-food-tech-startup-accelerator,Accelerator,,,"London, England, United Kingdom",,London Food Tech Startup Accelerator,"Europe, Middle East, and Africa (EMEA)",,,,,,,
The FYG Syndicate,https://www.crunchbase.com/organization/the-fyg-syndicate,Angel Group,,,"Nottingham, Nottingham, United Kingdom",,The FYG Syndicate is a new business angel syndicate based in Nottingham.,"Europe, Middle East, and Africa (EMEA)",2018-12-01,month,https://fundyourgrowth.co.uk/,,,,
Fintech for Good,https://www.crunchbase.com/organization/fintech-for-good,Accelerator,,,"London, England, United Kingdom",,"Fintech for Good is a global movement for change in financial services, promoting accountability, responsibility and sustainability.","Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.fintechforgood.com/,,,,
TAKK Cap,https://www.crunchbase.com/organization/takk-cap,"Micro VC, Venture Capital",,,"London, England, United Kingdom","Early Stage Venture, Seed",Early Stage innovation fund focused purely on Climate Change,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://takk.surf,https://linkedin.com/company/takksurf,,,
