Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Global Founders Capital,https://www.crunchbase.com/organization/global-founders-capital,"Private Equity Firm, Venture Capital",992,93,"Berlin, Berlin, Germany","Early Stage Venture, Private Equity, Seed",GFC is a venture fund that supports entrepreneurs at any stage in their business development across global markets.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.globalfounderscapital.com,https://www.linkedin.com/company/global-founders-capital,696,254,11
Deutsche Bank,https://www.crunchbase.com/organization/deutsche-bank,Investment Bank,214,91,"Frankfurt, Hessen, Germany","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity","Deutsche Bank, a Frankfurt-based global investment bank, offers financial products and services to corporate and institutional clients.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1870-03-10,day,https://www.db.com,https://www.linkedin.com/company/deutsche-bank,183,64,42
KfW,https://www.crunchbase.com/organization/kfw,"Government Office, Investment Bank, Venture Capital",189,50,"Frankfurt, Hessen, Germany","Debt, Early Stage Venture, Late Stage Venture, Seed",KfW operates as the promotional bank of the Federal Republic of Germany that engages in the financing of corporate investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1948-12-16,day,https://www.kfw.de,https://www.linkedin.com/company/kfw,144,24,8
Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,"Incubator, Private Equity Firm, Venture Capital",155,46,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",Rocket Internet incubates and invests in internet and technology companies globally.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,https://www.rocket-internet.com/,https://www.linkedin.com/company/1298456,109,43,9
Bosch Ventures,https://www.crunchbase.com/organization/robert-bosch-venture-capital,Corporate Venture Capital,137,28,"Stuttgart, Baden-Wurttemberg, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture",Bosch Ventures (Robert Bosch Venture Capital GmbH) is the corporate venture capital company of the Bosch Group,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.rbvc.com,https://www.linkedin.com/company/robert-bosch-venture-capital/,83,39,4
SpinLab - The HHL Accelerator,https://www.crunchbase.com/organization/spinlab---the-hhl-accelerator,"Accelerator, Co-Working Space, Entrepreneurship Program, Incubator",114,11,"Leipzig, Sachsen, Germany","Early Stage Venture, Non Equity Assistance, Seed","SpinLab - The HHL Accelerator ranks among the best European accelerators. The hybrid 6 month program focusses on energy, smart city & health","European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://spinlab.co/,https://www.linkedin.com/company/spinlab---the-hhl-accelerator/,113,14,
Axel Springer Plug and Play Accelerator,https://www.crunchbase.com/organization/axel-springer-plug-and-play-accelerator,Accelerator,113,18,"Berlin, Berlin, Germany","Early Stage Venture, Seed, Venture",Axel Springer Plug and Play is a Berlin-based pre-seed startup accelerator.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.axelspringerplugandplay.com,https://www.linkedin.com/company/5046044,98,18,
Leblon Capital,https://www.crunchbase.com/organization/leblon-capital,"Private Equity Firm, Venture Capital",110,9,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture",Leblon Capital is an investment firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://leblon-capital.notion.site/,https://www.linkedin.com/company/leblon-capital/,109,3,3
Redstone.VC,https://www.crunchbase.com/organization/redstone-digital-gmbh,"Venture Capital, Venture Debt",109,8,"Berlin, Berlin, Germany","Debt, Early Stage Venture, Non Equity Assistance, Seed, Venture",Redstone is a European venture capital firm following selected investment strategies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-03-01,day,http://www.redstone.vc,http://www.linkedin.com/company/redstone-digital-gmbh,87,41,
Leaps by Bayer,https://www.crunchbase.com/organization/leaps-by-bayer,Corporate Venture Capital,103,10,"Leverkusen, Nordrhein-Westfalen, Germany",Early Stage Venture,"Leaps by Bayer invests in life sciences and specializes in the fields of biotechnology, agriculture, and scientific breakthrough.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://leaps.bayer.com,https://www.linkedin.com/company/leapsbybayer,63,43,7
Angel Invest,https://www.crunchbase.com/organization/angel-invest-ventures,Angel Group,101,3,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Angel Invest is one of Europe's most active angel funds,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,day,https://angelinvest.ventures,https://www.linkedin.com/company/angel-invest-ventures/,84,3,
KFW DEG,https://www.crunchbase.com/organization/kfw-deg,Private Equity Firm,98,18,"Cologne, Nordrhein-Westfalen, Germany","Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Venture","KFW DEG offers financing, advice and support to private sector enterprises operating in developing and emerging-market countries.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1962-01-01,year,https://www.deginvest.de,https://www.linkedin.com/company/deg,89,40,11
NRW.BANK,https://www.crunchbase.com/organization/nrw-bank,"Government Office, Investment Bank",97,14,"Düsseldorf, Nordrhein-Westfalen, Germany","Early Stage Venture, Late Stage Venture, Seed",NRW.BANK is a financial group that supports investment and development in the NRW state of Germany.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://www.nrwbank.de,https://www.linkedin.com/company/nrw.bank/,68,20,
Hasso Plattner Ventures,https://www.crunchbase.com/organization/hasso-plattner-ventures,"Micro VC, Venture Capital",95,23,"Potsdam, Brandenburg, Germany",Late Stage Venture,"Hasso Plattner Ventures invests in fast-growing, information technology-driven companies.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-07-01,day,http://www.hp-ventures.com,https://www.linkedin.com/company/hasso-plattner-ventures/,60,12,3
coparion,https://www.crunchbase.com/organization/coparion,"Accelerator, Venture Capital",94,11,"Cologne, Nordrhein-Westfalen, Germany","Early Stage Venture, Late Stage Venture",Coparion provides venture capital to accelerate momentum and growth.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.coparion.vc/en,https://www.linkedin.com/company/coparion-gmbh-&-co.-kg,53,5,
Boehringer Ingelheim Venture Fund,https://www.crunchbase.com/organization/boehringer-ingelheim-venture-fund,Corporate Venture Capital,90,10,"Ingelheim Am Rhein, Rheinland-Pfalz, Germany","Early Stage Venture, Seed",Boehringer Ingelheim Venture Fund intends to invest in groundbreaking therapeutic approaches and technologies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.boehringer-ingelheim-venture.com,,52,44,1
Cipio Partners,https://www.crunchbase.com/organization/cipio-partners,"Private Equity Firm, Venture Capital",87,40,"Munich, Bayern, Germany","Late Stage Venture, Private Equity, Venture",Investment management and advisory firm for European growth capital & minority buyouts for technology companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2003-06-01,day,http://www.cipiopartners.com,http://www.linkedin.com/company/cipio-partners,65,23,6
Fly Ventures,https://www.crunchbase.com/organization/fly-ventures,"Micro VC, Venture Capital",84,7,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Fly Ventures is a first check VC for technical founders solving hard problems.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-06-01,month,http://www.fly.vc,https://www.linkedin.com/company/fly-ventures/,50,38,
BASF Venture Capital,https://www.crunchbase.com/organization/basf-venture-capital,Corporate Venture Capital,82,16,"Ludwigshafen, Rheinland-Pfalz, Germany","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",BASF Venture Capital is the corporate venture capital company of BASF Group.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.basf.de,http://www.linkedin.com/company/basf,60,34,6
SAIS,https://www.crunchbase.com/organization/sais-a4f9,"Accelerator, Entrepreneurship Program, Startup Competition, Venture Debt",82,,"Bonn, Nordrhein-Westfalen, Germany",Non Equity Assistance,SAIS - Scaling agriculture innovations through start-ups in Africa,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://sais-accelerator.com,https://www.linkedin.com/company/sais-accelerator/about/,81,49,
42CAP,https://www.crunchbase.com/organization/42cap,"Micro VC, Venture Capital",77,4,"Munich, Bayern, Germany","Early Stage Venture, Seed, Venture","42CAP is a seed stage investment firm based in Munich, Germany.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://www.42cap.com,https://www.linkedin.com/company/42cap/,45,23,
DTCP,https://www.crunchbase.com/organization/dtcp,Private Equity Firm,73,23,"Hamburg, Hamburg, Germany","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Venture",DTCP is an investment management firm focused on growth equity and digital infrastructure.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.dtcp.capital,https://www.linkedin.com/company/dtcp-capital,55,21,2
Saarbruecker 21,https://www.crunchbase.com/organization/saarbruecker-21,Angel Group,73,27,"Berlin, Berlin, Germany",Seed,"Saarbruecker21 invest in young startups, either individually or collectively as a group.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://www.sb21.de/,https://www.linkedin.com/company/sb21-de/,71,15,1
FoodLabs,https://www.crunchbase.com/organization/atlantic-food-lab,"Entrepreneurship Program, Incubator, Venture Capital",73,4,"Berlin, Berlin, Germany","Early Stage Venture, Seed, Venture","FoodLabs is a venture studio and investor for startups that shape the future of nutrition, sustainability and health.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://foodlabs.com/,https://www.linkedin.com/company/atlantic-food-labs/,53,29,
Hardware.co,https://www.crunchbase.com/organization/hardware-co-accelerator,Accelerator,68,3,"Berlin, Berlin, Germany","Early Stage Venture, Non Equity Assistance, Seed","HARDWARE.co is a global community and accelerator for entrepreneurs, industry professionals and makers focused on hardware products.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://hardware.co,https://www.linkedin.com/company/3226909?trk=prof-exp-company-name,68,,1
Porsche Ventures,https://www.crunchbase.com/organization/porsche-ventures,"Corporate Venture Capital, Private Equity Firm",63,6,"Stuttgart, Baden-Wurttemberg, Germany","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",Porsche Ventures is a venture capital arm of Porsche that invests in companies from early-stage through growth.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.porsche.ventures,https://www.linkedin.com/company/porsche-ventures,47,18,1
SevenVentures,https://www.crunchbase.com/organization/sevenventures,"Corporate Venture Capital, Startup Competition, Venture Capital",61,14,"Unterföhring, Bayern, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture",SevenVentures is a leading venture capital firm that accelerates growth of B2C companies with media and very selected cash investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://sevenventures.de,https://www.linkedin.com/company/10262962,52,12,
ProVeg Incubator,https://www.crunchbase.com/organization/proveg-incubator,"Accelerator, Incubator",60,,"Berlin, Berlin, Germany","Early Stage Venture, Seed",ProVeg Incubator is the world’s leading Incubator of plant-based and cultured food startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://provegincubator.com/,https://www.linkedin.com/company/proveg-incubator/about/,53,7,
METRO Xcel,https://www.crunchbase.com/organization/techstars-metro,"Accelerator, Incubator, Venture Capital",60,5,"Berlin, Berlin, Germany","Convertible Note, Early Stage Venture, Late Stage Venture, Venture",METRO Xcel is a selective sales driven program for technology startups targeting hospitality and retail industries.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.metroaccelerator.com,https://www.linkedin.com/company/metro-accelerator,58,3,
bm-t beteiligungsmanagement thuringen,https://www.crunchbase.com/organization/bm-t-beteiligungsmanagement-thüringen,"Private Equity Firm, Venture Capital",60,7,"Erfurt, Thuringen, Germany","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",bm-t beteiligungsmanagement thüringen is a regional venture capital and private equity company with fokus on Thüringen/ Germany only.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2003-01-01,year,https://www.bm-t.com/,https://www.linkedin.com/company/bm-t-beteiligungsmanagement-th-ringen-gmbh/,44,39,1
Flixfounders,https://www.crunchbase.com/organization/flixfounders,Family Investment Office,58,,"Munich, Bayern, Germany","Convertible Note, Early Stage Venture, Seed, Venture",Flixbus' founders' family office,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,39,,
Seeds of Bravery,https://www.crunchbase.com/organization/seeds-of-bravery,Accelerator,56,1,"Berlin, Berlin, Germany",,"Seeds of Bravery is to foster diversity, promote the deep tech industry and stimulate hundreds of UA-based innovations.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://seedsofbravery.eu/,https://www.linkedin.com/company/seeds-of-bravery/,55,56,
EXIST,https://www.crunchbase.com/organization/exist-business,University Program,54,2,"Berlin, Berlin, Germany",Grant,EXIST aims at improving the entrepreneurial environment at universities and research institutes.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.exist.de,https://www.linkedin.com/company/bmwk-exist/,52,15,
Neosfer,https://www.crunchbase.com/organization/neosfer,"Corporate Venture Capital, Venture Capital",53,7,"Frankfurt, Hessen, Germany","Early Stage Venture, Seed",Neosfer (formerly main incubator) is the early stage investor and innovation unit of Commerzbank Group.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-10-09,day,https://www.neosfer.com,https://www.linkedin.com/company/5109156/,33,13,
ProSiebenSat.1 Accelerator,https://www.crunchbase.com/organization/prosiebensat1-accelerator,Accelerator,53,8,"Munich, Bayern, Germany","Early Stage Venture, Seed","ProSiebenSat.1 Accelerator is an early-stage investment program that offers funding, mentoring, and office space to startups.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.p7s1accelerator.com/,http://www.linkedin.com/company/prosiebensat-1-accelerator,53,27,
Investitionsbank Berlin,https://www.crunchbase.com/organization/investitionsbank-berlin,"Investment Bank, Venture Capital",52,12,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Investitionsbank Berlin is a business development and promotion bank that finances small and medium businesses.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1924-01-01,year,http://www.ibb.de,https://www.linkedin.com/company/investitionsbank-berlin/,49,18,1
Hubraum,https://www.crunchbase.com/organization/hub-raum,"Accelerator, Incubator, Venture Capital",51,8,"Berlin, Berlin, Germany","Debt, Early Stage Venture, Seed","Hubraum connects tech entrepreneurs and startup companies with the network, capital and business opportunities of Deutsche Telekom.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://hubraum.com,https://www.linkedin.com/company/2952666/,48,22,
Next Media Accelerator,https://www.crunchbase.com/organization/next-media-accelerator,"Accelerator, Venture Capital",49,5,"Hamburg, Hamburg, Germany","Convertible Note, Early Stage Venture, Seed",Next Media Accelerator is a pan-European startup program for innovation in media & marketing.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.nma.vc/,https://www.linkedin.com/company/next-media-accelerator/,46,28,
Allianz X,https://www.crunchbase.com/organization/allianz-x,Corporate Venture Capital,48,9,"München, Bayern, Germany","Early Stage Venture, Late Stage Venture",Allianz X is the digital investment unit of the Allianz Group that invests in digital growth companies related to insurance.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.allianzx.com,https://www.linkedin.com/company/allianzx,32,21,4
EWOR,https://www.crunchbase.com/organization/ewor,"Accelerator, Venture Capital",47,,"Berlin, Berlin, Germany","Early Stage Venture, Seed","EWOR is a place where the most extraordinary people find the education, network, and capital to solve the world’s biggest problems.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://ewor.com/,https://www.linkedin.com/company/ewor/,47,3,
Moonrock Capital,https://www.crunchbase.com/organization/moonrock-capital,"Accelerator, Incubator, Venture Capital",47,,"Munich, Bayern, Germany","Early Stage Venture, Initial Coin Offering, Seed, Venture","We Are Moonrock Capital, A Crypto Native Venture Capital Boutique Incubating Web3 And Blockchain Start-Ups To Shape The World Of Tomorrow.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.moonrockcapital.io/,https://www.linkedin.com/company/moonrock-capital/about/,45,5,
The Delta,https://www.crunchbase.com/organization/the-delta,"Accelerator, Angel Group, Incubator, Venture Capital",47,1,"Berlin, Berlin, Germany","Early Stage Venture, Seed","The Delta is a venture ecosystem, supporting promising ventures with the capital, infrastructure, and team to make their mark on the world.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.thedelta.io,https://za.linkedin.com/company/thedelta-group,30,20,
Open Data Incubator for Europe (ODINE),https://www.crunchbase.com/organization/open-data-incubator-europe,Incubator,46,8,"Berlin, Berlin, Germany",Grant,ODINE provides an accelerator programme for SMEs and startups to establish business in open data related areas.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-03-01,day,https://opendataincubator.eu/,,46,42,
Agile Accelerator,https://www.crunchbase.com/organization/agile-accelerator,Accelerator,45,3,"Essen, Nordrhein-Westfalen, Germany",,Agile Accelerator is an accelerator that invest in the energy sector.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-05-01,month,http://www.eon-agile.com,https://www.linkedin.com/company/e-on-agile,42,35,
NCA,https://www.crunchbase.com/organization/nca,Accelerator,43,1,"Hamburg, Hamburg, Germany",Seed,NCA is an early-stage startup accelerator & investment fund that connects startups with corporates to foster innovation,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-07-01,month,http://nca.vc,https://www.linkedin.com/company/next-commerce-accelerator/about/,42,10,
LeadX Capital Partners,https://www.crunchbase.com/organization/leadx-capital-partners,"Private Equity Firm, Venture Capital",42,4,"Munich, Bayern, Germany","Late Stage Venture, Private Equity",LeadX Capital Partners is an investor backing growth-stage technology companies driving the digital transformation of consumer industries.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.leadxcapital.com,https://www.linkedin.com/company/leadx-capital-partners/,40,2,
RTA.vc,https://www.crunchbase.com/organization/rta-ventures,"Family Investment Office, Venture Capital",41,3,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Seed",RTA.vc is a small family office investing in early stage VC funds and tech startups,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-08-01,day,https://www.rta.vc,https://www.linkedin.com/company/rtaventures/,25,2,1
Microsoft Accelerator Berlin,https://www.crunchbase.com/organization/microsoft-ventures-accelerator-berlin,Accelerator,41,8,"Berlin, Berlin, Germany",Seed,Microsoft Accelerator Berlin is a company provides coaching that will help you take your startup to the next level.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-11-01,month,https://www.microsoftaccelerator.com/locations/berlin,,41,1,
Heliad AG,https://www.crunchbase.com/organization/heliad-equity-partners,"Private Equity Firm, Venture Capital",39,8,"Frankfurt, Hessen, Germany","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed",Empower Entrepreneurs. And Investors.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2003-01-01,year,http://www.heliad.com,https://de.linkedin.com/company/heliad-ag,27,24,6
RootCamp,https://www.crunchbase.com/organization/rootcamp,"Accelerator, Co-Working Space, Entrepreneurship Program, Incubator",39,,"Hanover, Niedersachsen, Germany","Early Stage Venture, Late Stage Venture",RootCamp is an agrifood-tech innovation hub that provides free support to startups at all stages of their growth.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://www.root.camp/,https://www.linkedin.com/company/rootcamphannover/,39,14,
Hitachi Ventures,https://www.crunchbase.com/organization/hitachi-ventures,Corporate Venture Capital,39,1,"München, Bayern, Germany","Early Stage Venture, Venture",Hitachi Ventures is the global venture capital arm of Hitachi Group,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.hitachi-ventures.com,https://www.linkedin.com/company/hitachi-ventures-gmbh/about/,28,8,1
another.vc,https://www.crunchbase.com/organization/another-vc,Micro VC,38,2,"Hamburg, Hamburg, Germany",Seed,Investing in pre-seed and seed companies,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.another.vc,https://www.linkedin.com/company/another-vc/,26,,
LBBW VC,https://www.crunchbase.com/organization/lbbw-venture-capital-gmbh,Corporate Venture Capital,38,5,"Stuttgart, Baden-Wurttemberg, Germany",Early Stage Venture,"LBBW Venture invests in brilliant entrepreneurs raising a late seed, Series A or Series B round within the DACH region.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.lbbwvc.de,https://www.linkedin.com/company/lbbw-venture-capital-gmbh/about/,31,12,
SHS Capital,https://www.crunchbase.com/organization/shs-gesellschaft-fr-beteiligungsmanagement-mbh,"Private Equity Firm, Venture Capital",36,6,"Tübingen, Baden-Wurttemberg, Germany","Early Stage Venture, Late Stage Venture, Private Equity",SHS is an independent private equity company focus on investments in the MedTech and Life Sciences sectors.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1993-01-01,year,http://www.shs-capital.eu,http://www.linkedin.com/company/shs-gesellschaft-fuer-beteiligungsmanagement-mbh,29,20,
LEA Partners,https://www.crunchbase.com/organization/lea-partners,"Private Equity Firm, Venture Capital",36,5,"Karlsruhe, Baden-Wurttemberg, Germany","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",LEA Partners is a multi-stage private equity and venture capital firm that backs and supports B2B Tech founders and executives.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://www.leapartners.de,https://www.linkedin.com/company/l-ea-private-equity-gmbh/,25,15,
Climate-KIC Acceleration Programme,https://www.crunchbase.com/organization/climate-kic-acceleration-programme-eit,Accelerator,36,2,"Berlin, Berlin, Germany",Seed,"ClimAccelerator provide with the tools, opportunities and network to transform climate change idea into commercial success.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://climaccelerator.climate-kic.org,https://www.linkedin.com/company/climate-kic,29,17,
Tet Ventures,https://www.crunchbase.com/organization/tet-ventures,"Micro VC, Venture Capital",36,2,"Berlin, Berlin, Germany","Early Stage Venture, Seed",One of the most active global food-tech VCs. We invest in teams and tech building a better food system.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-09-01,month,https://www.tet.vc/,https://www.linkedin.com/company/tetvc,34,,
Smart Cities Innovation Programme,https://www.crunchbase.com/organization/smart-cities-innovation-programme,Accelerator,36,1,"Eschborn, Hessen, Germany","Grant, Non Equity Assistance, Seed","Smart Cities Innovation aims at supporting high-potential African tech startups operating in the field of smart mobility, CleanTech.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.make-it.africa/programmes/smart-cities-innovation-programme,https://www.linkedin.com/company/make-it-in-africa/,26,35,
Discovery Ventures,https://www.crunchbase.com/organization/discovery-ventures-7af5,Micro VC,35,3,"Berlin, Berlin, Germany","Early Stage Venture, Seed, Venture",Micro VC supporting outstanding technology entrepreneurs across the globe.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.discovery-ventures.com/,https://www.linkedin.com/company/discovery-ventures,34,1,
FinLab,https://www.crunchbase.com/organization/finlab,"Accelerator, Private Equity Firm, Venture Capital",35,8,"Frankfurt, Hessen, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture",FinLab is a Germany-based investment company engaged in the building of companies in the financial services technologies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-01-01,day,https://www.finlab.de,https://www.linkedin.com/company/finlab-ag,28,24,1
Evonik Venture Capital,https://www.crunchbase.com/organization/evonik-venture-capital-gmbh,"Corporate Venture Capital, Venture Capital",35,3,"Hanau, Hessen, Germany","Early Stage Venture, Late Stage Venture","Evonik Venture Capital is the corporate venture arm of Evonik Industries AG, a global specialty chemicals company.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://venturing.evonik.com,https://www.linkedin.com/company/evonik,25,15,1
EnBW New Ventures,https://www.crunchbase.com/organization/enbw-new-ventures,"Corporate Venture Capital, Venture Capital",35,4,"Karlsruhe, Baden-Wurttemberg, Germany","Early Stage Venture, Seed, Venture","EnBW New Ventures invest in startups in the converging energy, mobility and urban life markets.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.env.vc,https://www.linkedin.com/company/18194553/,20,16,
Team Global,https://www.crunchbase.com/organization/team-europe-ventures,Incubator,33,12,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Seed",Team Global is a technology holding company that helps build internet companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-09-03,day,https://www.teamglobal.net,https://www.linkedin.com/company/team-global-management-gmbh,24,4,5
Loric Ventures,https://www.crunchbase.com/organization/loric-ventures,"Angel Group, Family Investment Office, Venture Capital",33,4,"Berlin, Berlin, Germany","Convertible Note, Early Stage Venture, Late Stage Venture, Secondary Market, Seed, Venture","Loric invests in innovative and disruptive solutions globally, with a focus on fin- and urbantech and impact.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.loric.vc/,,33,,
Avala Capital,https://www.crunchbase.com/organization/avala-capital,"Angel Group, Venture Capital",32,9,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Seed",Avala Capital invests in high-growth companies with ambitious goals and the talents to achieve them.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://avalacapital.com/,https://www.linkedin.com/company/avala-capital,21,4,2
Astutia Ventures,https://www.crunchbase.com/organization/astutia-ventures,"Private Equity Firm, Venture Capital",31,11,"Munich, Bayern, Germany","Early Stage Venture, Secondary Market",Astutia Ventures is an independent private equity investment company that finances early- and growth-stage companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-03-01,month,http://www.astutia.de,,22,,1
STS Ventures,https://www.crunchbase.com/organization/sts-ventures,"Angel Group, Venture Capital",30,4,"Cologne, Nordrhein-Westfalen, Germany","Convertible Note, Early Stage Venture, Late Stage Venture, Secondary Market, Seed",Backing tomorrow's hidden champions | The Cologne-based early stage VC.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,http://www.sts-ventures.de,https://www.linkedin.com/company/sts-ventures-early-stage-vc/,24,15,
Evergreen Investment Partners,https://www.crunchbase.com/organization/evergreen-investment-partners,Private Equity Firm,30,,"England, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed",Evergreen Investment Partners is a private equity firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.evergreeninvestmentpartners.com/,,28,2,
Siemens Financial Services,https://www.crunchbase.com/organization/siemens-financial-services,Private Equity Firm,29,7,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",Siemens Financial Services support Siemens and external companies with innovative financing.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1997-01-01,year,http://finance.siemens.com/financialservices/global/en/pages/home.aspx,https://www.linkedin.com/company/siemens-financial-services,29,9,1
Deutsche Handelsbank,https://www.crunchbase.com/organization/deutsche-handelsbank,"Investment Bank, Venture Debt",29,11,"Munich, Bayern, Germany","Debt, Early Stage Venture, Late Stage Venture, Venture",Deutsche Handelsbank is a bank for digital startup and growth companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,https://www.handelsbank.com,https://www.linkedin.com/company/deutschehandelsbank/,29,13,
Commerzbank,https://www.crunchbase.com/organization/commerzbank,Investment Bank,28,7,"Frankfurt, Hessen, Germany","Debt, Seed",Commerzbank is a commercial bank that provides seed and debt financing investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1870-01-01,year,https://www.commerzbank.de/,https://www.linkedin.com/company/commerzbank-ag/,25,2,4
