Transaction Name,Transaction Name URL,Acquiree Headquarters Location,Acquiree Name,Acquiree Name URL,Acquirer Name,Acquirer Name URL,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,Price,Price Currency,Price (in USD),Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree's Website,Acquiree Headquarters Regions,Acquiree's Estimated Revenue Range,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquiree's Total Funding Amount,Acquiree's Total Funding Amount Currency,Acquiree's Total Funding Amount (in USD),Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer Headquarters Regions,Acquirer's Website,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer's Total Funding Amount Currency,Acquirer's Total Funding Amount (in USD),Acquirer Funding Status,Acquirer's Number of Funding Rounds,CB Rank (Acquisition)
Delta Technologies acquired by Apideck,https://www.crunchbase.com/acquisition/apideck-acquires-delta-ab1e--27a25c91,"Berlin, Berlin, Germany",Delta Technologies,https://www.crunchbase.com/organization/delta-ab1e,Apideck,https://www.crunchbase.com/organization/apideck,2023-11-23,day,Acquisition,,,,,Delta Technologies develops unified APIs to help companies build customer-facing integration faster with fewer developer resources.,Angel,"Database, Developer APIs, SaaS, Software, Web Development",https://www.usedelta.io/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,"Apideck enables developers to build integrations through a set of Unified APIs, from Accounting to HRIS integrations.","Developer APIs, Information Technology, Internet, SaaS, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",https://www.apideck.com,$10M to $50M,7500000,USD,7500000,Early Stage Venture,2,"167,484"
DemoUp Cliplister acquired by Bregal Unternehmerkapital,https://www.crunchbase.com/acquisition/bregal-unternehmerkapital-acquires-demoup-cliplister--7b2dd8d2,"Berlin, Berlin, Germany",DemoUp Cliplister,https://www.crunchbase.com/organization/demoup-cliplister,Bregal Unternehmerkapital,https://www.crunchbase.com/organization/bregal-unternehmerkapital,2024-08-23,day,Acquisition,,,,,"DemoUp Cliplister is a technology company that provides a central platform to create, manage, distribute, and analyze product content.",Pre-Seed,"Content Creators, Information Technology, Photography",https://www.demoup-cliplister.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,"Bregal Unternehmerkapital is a private equity firm that invests in the automotive, industrial goods, healthcare and e-commerce sectors.","Finance, Financial Services, FinTech","München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.bregal.de,,,,,,,"5,148"
Denario acquired by PandaDoc,https://www.crunchbase.com/acquisition/pandadoc-acquires-denario-00d1--58c0a1b5,"Berlin, Berlin, Germany",Denario,https://www.crunchbase.com/organization/denario-00d1,PandaDoc,https://www.crunchbase.com/organization/pandadoc,2023-08-28,day,Acquisition,,,,,Denario is an integrated B2B Payments experience that helps SMBs & Startups improve their cash flow.,Seed,"Financial Services, FinTech, Payments",https://www.denario.io/ ,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,1800000,EUR,2039454,"PandaDoc enables users to create, deliver, and manage their teams’ quotes, proposals, contracts, and other sales collateral.","Contact Management, Document Management, E-Signature, SaaS, Sales Automation, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",https://www.pandadoc.com,$50M to $100M,51055000,USD,51055000,Late Stage Venture,6,"56,895"
Deutsche Wohnen acquired by Vonovia,https://www.crunchbase.com/acquisition/vonovia-se-acquires-deutsche-wohnen--f379ae9d,"Berlin, Berlin, Germany",Deutsche Wohnen,https://www.crunchbase.com/organization/deutsche-wohnen,Vonovia,https://www.crunchbase.com/organization/vonovia-se,2021-05-25,day,Acquisition,,19000000000,EUR,23272135782,Deutsche Wohnen is a residential property company that manages and develops real state properties.,,"Nursing and Residential Care, Real Estate, Residential",https://www.deutsche-wohnen.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1B to $10B,M&A,,,,,Vonovia is a housing company that offers apartments.,"Leasing, Property Development, Real Estate, Residential","Bochum, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.vonovia.de,$1B to $10B,,,,IPO,,"50,626"
DIDIT acquired by luca,https://www.crunchbase.com/acquisition/lucaapp-acquires-didit-001d--70dea6d1,"Berlin, Berlin, Germany",DIDIT,https://www.crunchbase.com/organization/didit-001d,luca,https://www.crunchbase.com/organization/lucaapp,2023-06-01,day,Acquisition,Cash,,,,Pay at restaurants whenever and whoever you want - in just 15 seconds.,Seed,"Mobile Payments, Payments, Restaurants",https://www.paydidit.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,2,4000000,EUR,4524949,"Luca is a platform that allows users to find and book restaurants, cafés, and other locations.","Apps, Consumer Applications, Hospitality, Internet","Stuttgart, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.luca-app.de,$50M to $100M,33000000,USD,33000000,,4,"46,661"
digidip acquired by YieldKit,https://www.crunchbase.com/acquisition/yieldkit-acquires-digidip--aa2b5d27,"Berlin, Berlin, Germany",digidip,https://www.crunchbase.com/organization/digidip,YieldKit,https://www.crunchbase.com/organization/yieldkit,2021-08-16,day,Acquisition,,,,,digidip is a performance analytics network that specializes in the monetization of content sites and helps optimize their revenue.,,"Advertising, Affiliate Marketing, B2B, Internet",http://www.digidip.net,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,YieldKit provides Smart Monetization Solutions for Publishers,"Advertising, Automotive","Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://yieldkit.com,Less than $1M,750000,USD,750000,M&A,2,"126,803"
digidip acquired by YK Group GmbH,https://www.crunchbase.com/acquisition/yk-group-acquires-digidip--bd94bd30,"Berlin, Berlin, Germany",digidip,https://www.crunchbase.com/organization/digidip,YK Group GmbH,https://www.crunchbase.com/organization/yk-group,2021-08-13,day,Acquisition,,,,,digidip is a performance analytics network that specializes in the monetization of content sites and helps optimize their revenue.,,"Advertising, Affiliate Marketing, B2B, Internet",http://www.digidip.net,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,YK Group is based in germany,,"Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,,"48,696"
Digital Purchase Order acquired by Cast & Crew,https://www.crunchbase.com/acquisition/cast---crew-entertainment-services-llc-acquires-digital-purchase-order--ab8d1c3d,"Berlin, Berlin, Germany",Digital Purchase Order,https://www.crunchbase.com/organization/digital-purchase-order,Cast & Crew,https://www.crunchbase.com/organization/cast---crew-entertainment-services-llc,2021-04-07,day,Acquisition,,,,,Digital Purchase Order Software is the fastest and most simple approach to manage your purchasing workflow.,,"Apps, Internet, Software",https://www.digitalpurchaseorder.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Cast & Crew began modestly as a small business that provided payroll services to the commercial and the music business.,"Accounting, Bookkeeping and Payroll, Software","Burbank, California, United States","Greater Los Angeles Area, West Coast, Western US",http://www.castandcrew.com,$100M to $500M,,,,M&A,1,"79,913"
DILAX Intelcom acquired by Init Innovation in Traffic Systems,https://www.crunchbase.com/acquisition/init-innovation-in-traffic-systems-acquires-dilax-intelcom--5b1286ef,"Berlin, Berlin, Germany",DILAX Intelcom,https://www.crunchbase.com/organization/dilax-intelcom,Init Innovation in Traffic Systems,https://www.crunchbase.com/organization/init-innovation-in-traffic-systems,2024-09-17,day,Acquisition,,,,,"Dilax develops, manufactures and distributes software and hardware systems for the measurement of passenger numbers and passengers.",,"Automotive, Electronics, Intelligent Systems, Manufacturing, Software",https://www.dilax.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,Init Innovation in Traffic Systems is a supplier of integrated ITS (intelligent transportation systems) and Ticketing systems.,"Ticketing, Transportation","Karlsruhe-knielingen, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.initse.com/,$100M to $500M,,,,,,"11,335"
DIMABAY acquired by Storskogen,https://www.crunchbase.com/acquisition/storskogen-industrier-acquires-dimabay-2f8c--97ec48ff,"Berlin, Berlin, Germany",DIMABAY,https://www.crunchbase.com/organization/dimabay-2f8c,Storskogen,https://www.crunchbase.com/organization/storskogen-industrier,2022-03-29,day,Acquisition,,,,,DIMABAY offers advertisers a network for print-to-web marketing with a consistent focus on advertising results and performance-based models.,,"Advertising, Marketing",https://www.dimabay.ch/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Storskogen is a global group of businesses specializing in acquiring and developing market leaders with sustainable models.,"Finance, Financial Services, Real Estate Investment","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",https://www.storskogen.com,$1B to $10B,1390398695,USD,1390398695,IPO,4,"108,345"
DiscoEat acquired by luca,https://www.crunchbase.com/acquisition/lucaapp-acquires-discoeat--74c0cb00,"Berlin, Berlin, Germany",DiscoEat,https://www.crunchbase.com/organization/discoeat,luca,https://www.crunchbase.com/organization/lucaapp,2023-06-20,day,Acquisition,,,,,DiscoEat is a restaurant booking and delivery app that increases restaurant utilization through dynamic pricing and yield management.,Seed,"Online Portals, Reservations, Restaurants",https://discoeat.de/en,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,4,,,,"Luca is a platform that allows users to find and book restaurants, cafés, and other locations.","Apps, Consumer Applications, Hospitality, Internet","Stuttgart, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.luca-app.de,$50M to $100M,33000000,USD,33000000,,4,"131,548"
DNS:Net acquired by 3i Infrastructure,https://www.crunchbase.com/acquisition/3i-infrastructure-acquires-dns-net--aa23e94b,"Berlin, Berlin, Germany",DNS:Net,https://www.crunchbase.com/organization/dns-net,3i Infrastructure,https://www.crunchbase.com/organization/3i-infrastructure,2021-04-01,day,Leveraged Buyout,,182000000,EUR,214369847,"DNS:Net provides telecommunication, internet and data-center services that target private and business customers.",Private Equity,"Data Center, Internet, Mobile, Telecommunications",http://www.dns-net.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,1,5000000,EUR,6749897,3i Infrastructure is an investment firm specializing in infrastructure investments.,Infrastructure,"St. Helier, NA - Jersey, Jersey","Europe, Middle East, and Africa (EMEA)",https://www.3i-infrastructure.com/,,100000000,GBP,120261834,IPO,1,"17,262"
DONE! acquired by FISH Agency,https://www.crunchbase.com/acquisition/fish-f252-acquires-done-bc64--b2ca698f,"Berlin, Berlin, Germany",DONE!,https://www.crunchbase.com/organization/done-bc64,FISH Agency,https://www.crunchbase.com/organization/fish-f252,2023-08-01,month,Acquisition,Cash,,,,"DONE! is a consulting company that helps hyper-growth companies in organizational design, change management, and culture development.",,"Business Development, Management Consulting, Office Administration",https://doneberlin.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,Growth teams for funds.,"Finance, FinTech, Marketing","Bethesda, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",https://www.thinkfish.co/,,,,,,,"89,757"
door2door acquired by Swvl,https://www.crunchbase.com/acquisition/swvl-acquires-door2door--63689405,"Berlin, Berlin, Germany",door2door,https://www.crunchbase.com/organization/door2door,Swvl,https://www.crunchbase.com/organization/swvl,2022-03-24,day,Acquisition,,,,,#GovTech #SaaS #AI #Infrastructure for The Next Public Transport,Series A,"Artificial Intelligence (AI), GovTech, Public Transportation, SaaS, Software",https://door2door.io/en/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,7,32750000,EUR,37635247,Swvl offers an app that allows customers to book fixed rate rides on buses and vans in their network.,"Internet, Mobile Apps, Transportation, Travel","Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",https://swvl.com/,$10M to $50M,242700000,USD,242700000,IPO,10,"163,871"
DoorBird acquired by ASSA ABLOY Group,https://www.crunchbase.com/acquisition/assa-abloy-group-acquires-doorbird--7314fc07,"Berlin, Berlin, Germany",DoorBird,https://www.crunchbase.com/organization/doorbird,ASSA ABLOY Group,https://www.crunchbase.com/organization/assa-abloy-group,2022-10-06,day,Acquisition,,,,,DoorBird is the smartphone doorstation.,,"Internet, Real Time, Smart Home",http://www.doorbird.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,"ASSA ABLOY Group is a door opening solutions, dedicated to satisfying end-user needs for security, safety, and convenience.","Biometrics, Building Material, Consumer Electronics, Information Technology, Security","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",http://www.assaabloy.com/en/com/,$1B to $10B,,,,,,"158,238"
Doozer acquired by Zig Real Estate,https://www.crunchbase.com/acquisition/zig-real-estate-acquires-doozer--ca777b0a,"Berlin, Berlin, Germany",Doozer,https://www.crunchbase.com/organization/doozer,Zig Real Estate,https://www.crunchbase.com/organization/zig-real-estate,2024-06-13,day,Merger,,,,,Doozer is an online platform to contract craftsmen and companies to repair and renovate real estate.,Venture - Series Unknown,"Information Technology, Property Development, Real Estate, Software",https://www.doozer.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,3500000,EUR,4100483,Zig Real Estate The Real Estate platform is utilized to provide omnichannel customer support.,"Consulting, Financial Services, Real Estate, Software","Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.zigrealestate.nl/en/,,,,,,,"6,129"
DreamHaus GmbH acquired by CTS Eventim,https://www.crunchbase.com/acquisition/cts-eventim-acquires-dreamhaus-gmbh--c6e7ddd3,"Berlin, Berlin, Germany",DreamHaus GmbH,https://www.crunchbase.com/organization/dreamhaus-gmbh,CTS Eventim,https://www.crunchbase.com/organization/cts-eventim,2021-02-19,day,Acquisition,,,,,DreamHaus GmbH is is an event company that provide event management services.,,"Event Management, Events",https://www.dreamhaus.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,CTS Eventim operates in the leisure events market worldwide.,"Leisure, Media and Entertainment, Ticketing","Bremen, Bremen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.eventim.de/,$1B to $10B,,,,IPO,,"36,868"
Dropp acquired by ARIVE,https://www.crunchbase.com/acquisition/arive-acquires-dropp-0ca7--553e8201,"Berlin, Berlin, Germany",Dropp,https://www.crunchbase.com/organization/dropp-0ca7,ARIVE,https://www.crunchbase.com/organization/arive,2023-01-16,day,Acquisition,,,,,Sustainable same day delivery,Seed,"E-Commerce, Last Mile Transportation, Logistics, Same Day Delivery",https://www.withdropp.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,2050000,EUR,2369698,"The ARIVE App brings the best of fashion, beauty, lifestyle, design and premium brands directly to your fingertips, all within mere hours.","Delivery Service, E-Commerce, Internet","München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.getarive.com/en/deu/shop,$1M to $10M,37124393,USD,37124393,,4,"35,169"
DSI Underground acquired by Sandvik,https://www.crunchbase.com/acquisition/sandvik-acquires-dsi-underground--a1df9ef2,"Berlin, Berlin, Germany",DSI Underground,https://www.crunchbase.com/organization/dsi-underground,Sandvik,https://www.crunchbase.com/organization/sandvik,2021-07-07,day,Acquisition,,,,,"DSI Underground is a mining & metals company that offers post-tensioning, geotechnical, and mining products.",,"Manufacturing, Mining",http://www.dsiunderground.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,"Sandvik is an engineering group with products that enhance customer productivity, profitability, and sustainability.","Building Material, Industrial, Machinery Manufacturing, Manufacturing, Mining","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",https://www.home.sandvik,$10B+,1000000000,EUR,1062917750,IPO,3,"134,755"
DÖRRWERK acquired by Followfood,https://www.crunchbase.com/acquisition/followfish-acquires-dorrwerk--aaa4c413,"Berlin, Berlin, Germany",DÖRRWERK,https://www.crunchbase.com/organization/dorrwerk,Followfood,https://www.crunchbase.com/organization/followfish,2022-09-28,day,Acquisition,,,,,DÖRRWERK is a manufacturer of healthy snacks from fruits.,Venture - Series Unknown,Manufacturing,https://www.doerrwerk.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,Followfood trace your fish from the plate to the bottom of the sea.,Food Processing,"Tübingen, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://followfood.de/,,,,,,,"22,218"
Easybell acquired by Dstny,https://www.crunchbase.com/acquisition/dstny-9726-acquires-easybell--2d77ba26,"Berlin, Berlin, Germany",Easybell,https://www.crunchbase.com/organization/easybell,Dstny,https://www.crunchbase.com/organization/dstny-9726,2022-10-25,day,Acquisition,,,,,"Easybell offers telecommunication solutions with core competencies in DSL, VoIP, internet services, cloud telephone, and telephone systems.",,"Communications Infrastructure, Telecommunications, VoIP",http://www.easybell.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,Dstny provides cloud-based business communications for SMEs.,"Information Technology, Small and Medium Businesses, Telecommunications","Zaventem, Vlaams-Brabant, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.dstny.be/,$1M to $10M,,,,,,"114,789"
EDITION F GmbH acquired by Funke Mediengruppe,https://www.crunchbase.com/acquisition/funke-mediengruppe-acquires-edition-f--708d6bc6,"Berlin, Berlin, Germany",EDITION F GmbH,https://www.crunchbase.com/organization/edition-f,Funke Mediengruppe,https://www.crunchbase.com/organization/funke-mediengruppe,2022-11-03,day,Acquisition,,,,,The digital home for business women.,Non-equity Assistance,"Business Intelligence, Digital Entertainment, Social Media",http://www.editionf.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,5,1265000,EUR,1441367,Funke Mediengruppe is Germany's newspaper and magazine publisher company.,"Broadcasting, News, Printing, Publishing","Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.funkemedien.de/de/,$1B to $10B,,,,,,"162,354"
emmy acquired by GoTo Global,https://www.crunchbase.com/acquisition/goto-acquires-emmy-sharing--94b96e4c,"Berlin, Berlin, Germany",emmy,https://www.crunchbase.com/organization/emmy-sharing,GoTo Global,https://www.crunchbase.com/organization/goto,2021-10-05,day,Acquisition,,,,,emmy offers free floating electric moped sharing.,Series C,"Apps, Last Mile Transportation, Transportation, Travel",http://www.emmy-sharing.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,5,25000,USD,25000,"GoTo Global is a multimodal shared-mobility company, offering shared cars, mopeds, kick scooters and e-bikes to private & business customers","Automotive, Autonomous Vehicles, Electric Vehicle, Sharing Economy, Transportation","Tel Aviv, Tel Aviv, Israel","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",https://ir.gotoglobal.com/,$100M to $500M,33500000,USD,33500000,Late Stage Venture,4,"43,647"
emovis acquired by FutureMeds,https://www.crunchbase.com/acquisition/futuremeds-acquires-emovis-c0bb--9879bf3a,"Berlin, Berlin, Germany",emovis,https://www.crunchbase.com/organization/emovis-c0bb,FutureMeds,https://www.crunchbase.com/organization/futuremeds,2023-07-18,day,,,,,,emovis is a site management organization and medical center.,,"Consulting, Health Care, Medical, Professional Services",https://www.emovis.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,European Independent Fully Owned Dedicated Site Network & DCT Service Provider | Clinical Trials & Patient Recruitment,"Clinical Trials, Medical, Pharmaceutical, Product Research","Liverpool, Liverpool, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://www.futuremeds.com/,$1M to $10M,,,,,,"44,411"
Energy Brainpool acquired by Montel Group,https://www.crunchbase.com/acquisition/montel-group-acquires-energy-brainpool--6e5bd78d,"Berlin, Berlin, Germany",Energy Brainpool,https://www.crunchbase.com/organization/energy-brainpool,Montel Group,https://www.crunchbase.com/organization/montel-group,2024-01-17,day,Acquisition,,,,,"Energy Brainpool GmbH & Co. KG offers independent energy market expertise with a focus on market design, price development.",,Energy,https://www.energybrainpool.com/en.html,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Montel Group brings together established energy sector professionals from all around Europe.,"Information Services, Real Time","Oslo, Oslo, Norway","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",https://montelgroup.com,,,,,M&A,,"15,660"
ENWAY acquired by Bucher Municipal,https://www.crunchbase.com/acquisition/bucher-municipal-acquires-enway--03019e3c,"Berlin, Berlin, Germany",ENWAY,https://www.crunchbase.com/organization/enway,Bucher Municipal,https://www.crunchbase.com/organization/bucher-municipal,2022-09-22,day,Acquisition,,,,,"Enway builds the software that enables special purpose vehicles for cleaning, sweeping and city services to operate autonomously.",Seed,"Autonomous Vehicles, Information Services, Information Technology, Robotics",http://enway.ai/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,6000000,EUR,6611913,Bucher Municipal is a manufacturer and supplier of sewer cleaning and construction equipment.,"Machinery Manufacturing, Manufacturing, Mechanical Engineering","Niederweningen, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",https://www.buchermunicipal.com,$100M to $500M,,,,,,"71,544"
Expertlead acquired by WorkGenius,https://www.crunchbase.com/acquisition/mylittlejob-gmbh-acquires-expertlead--9ce3f3a3,"Berlin, Berlin, Germany",Expertlead,https://www.crunchbase.com/organization/expertlead,WorkGenius,https://www.crunchbase.com/organization/mylittlejob-gmbh,2023-08-08,day,Acquisition,,,,,"Expertlead helps companies find, assess, and hire ‍qualified tech experts.",Series B,"Employment, Freelance, Human Resources, Information Technology, Lead Management, Recruiting",https://www.expertlead.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,16500000,EUR,19238369,"WorkGenius is a digital workforce solution that uses AI to match and manage a network of 350,000 vetted professionals.","Artificial Intelligence (AI), Freelance, Machine Learning, Payments, Recruiting","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",https://www.workgenius.com,$10M to $50M,23096045,USD,23096045,,5,"21,143"
EyeEm acquired by Freepik,https://www.crunchbase.com/acquisition/freepik-acquires-eyeem--3a443e13,"Berlin, Berlin, Germany",EyeEm,https://www.crunchbase.com/organization/eyeem,Freepik,https://www.crunchbase.com/organization/freepik,2023-10-12,day,Acquisition,,,,,EyeEm builds technology to showcase the best images from the world’s leading photo community.,Private Equity,"Artificial Intelligence (AI), Computer, Image Recognition, Mobile, Photo Sharing, Photography, Visual Search",http://www.eyeem.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,5,24000000,USD,24000000,Freepik is a tech company that provides easy to use AI tools to create and edit any type of audiovisual content with unbeatable results.,"Enterprise Software, Generative AI, Graphic Design, Photography, Software","Málaga, Andalucia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.freepik.com,Less than $1M,,,,M&A,2,"24,953"
EyeEm acquired by Talenthouse,https://www.crunchbase.com/acquisition/talenthouse-acquires-eyeem--8880acc7,"Berlin, Berlin, Germany",EyeEm,https://www.crunchbase.com/organization/eyeem,Talenthouse,https://www.crunchbase.com/organization/talenthouse,2021-06-01,month,Acquisition,,,,,EyeEm builds technology to showcase the best images from the world’s leading photo community.,Private Equity,"Artificial Intelligence (AI), Computer, Image Recognition, Mobile, Photo Sharing, Photography, Visual Search",http://www.eyeem.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,5,24000000,USD,24000000,14.6 million strong global creative community power leading brands globally,"Advertising, Banking, Content Marketing, E-Commerce Platforms, Internet, Social Media","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://www.talenthouse.com,$10M to $50M,80062946,USD,80062946,IPO,7,"53,959"
FactoryPal acquired by Valmet,https://www.crunchbase.com/acquisition/valmet-acquires-factorypal--95f471d4,"Berlin, Berlin, Germany",FactoryPal,https://www.crunchbase.com/organization/factorypal,Valmet,https://www.crunchbase.com/organization/valmet,2024-05-30,day,Acquisition,,,,,FactoryPal is a digital intelligence and computer software company.,,"Computer, Manufacturing, Software",https://www.factorypal.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,"Valmet is the leading global developer and supplier of technologies, automation and services for the pulp, paper and energy industries.","Industrial Automation, Manufacturing, Mechanical Engineering","Espoo, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",https://www.valmet.com/,$1B to $10B,375000000,EUR,401832670,IPO,2,"6,034"
Fandreams acquired by Shoutout.de,https://www.crunchbase.com/acquisition/shoutout-752d-acquires-fandreams--d47bde8b,"Berlin, Berlin, Germany",Fandreams,https://www.crunchbase.com/organization/fandreams,Shoutout.de,https://www.crunchbase.com/organization/shoutout-752d,2022-05-06,day,Acquisition,,,,,Fandreams enables its users to book personalized video messages from their favorite celebrities.,,"Celebrity, Online Portals, Video Chat",https://fandreams.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,Platform for booking celebrities for personalized video messages.,E-Commerce,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://shoutout.de,,,,,M&A,,"106,589"
Feinwerk- und Messtechnik acquired by SAES Getters,https://www.crunchbase.com/acquisition/saes-getters-acquires-feinwerk-und-messtechnik--d4606749,"Berlin, Berlin, Germany",Feinwerk- und Messtechnik,https://www.crunchbase.com/organization/feinwerk-und-messtechnik,SAES Getters,https://www.crunchbase.com/organization/saes-getters,2024-04-10,day,Acquisition,Cash,8000000,EUR,8592911,"Feinwerk- und Messtechnik is an industrial firm that offers machinery manufacturing, mechanical engineering, and quality assurance services.",,"Industrial, Machinery Manufacturing, Mechanical Engineering, Quality Assurance",https://www.fmb-berlin.de/index.php/en/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,SAES Getters is a manufacturer of electronic components.,"Advanced Materials, Electronics, Manufacturing, Medical Device, Product Research","Milan, Lombardia, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.saesgetters.com,$100M to $500M,,,,,,"10,276"
financeAds International acquired by verticalAds Group,https://www.crunchbase.com/acquisition/verticalads-group-acquires-financeads-international--8f5e61fe,"Berlin, Berlin, Germany",financeAds International,https://www.crunchbase.com/organization/financeads-international,verticalAds Group,https://www.crunchbase.com/organization/verticalads-group,2021-05-18,day,,,,,,"We help banks, insurance companies and Fintech to acquire  new online customers through our network of highly relevant financial publishers",Seed,"Advertising, Affiliate Marketing, Brand Marketing, Digital Marketing, FinTech",https://www.financeads.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,The verticalAds Group is a digital marketing and advertising company specializing in affiliate marketing.,"Advertising, Affiliate Marketing, Marketing","Nürnberg, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://verticaladsgroup.com/,,,,,,,"160,559"
finanzen Group acquired by Clark,https://www.crunchbase.com/acquisition/clark-2-acquires-finanzen-group--aa57bc0c,"Berlin, Berlin, Germany",finanzen Group,https://www.crunchbase.com/organization/finanzen-group,Clark,https://www.crunchbase.com/organization/clark-2,2021-11-08,day,Acquisition,,,,,finanzen Group provides a lead generation platform for mortgage and insurance companies.,,"Finance, Financial Services, Insurance",https://finanzen-group.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Clark is an insurance platform that provides full insurance cover.,"FinTech, Insurance, InsurTech","Frankfurt, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.clark.de,$1B to $10B,133658631,USD,133658631,Late Stage Venture,6,"119,559"
