Transaction Name,Transaction Name URL,Acquiree Headquarters Location,Acquiree Name,Acquiree Name URL,Acquirer Name,Acquirer Name URL,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,Price,Price Currency,Price (in USD),Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree's Website,Acquiree Headquarters Regions,Acquiree's Estimated Revenue Range,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquiree's Total Funding Amount,Acquiree's Total Funding Amount Currency,Acquiree's Total Funding Amount (in USD),Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer Headquarters Regions,Acquirer's Website,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer's Total Funding Amount Currency,Acquirer's Total Funding Amount (in USD),Acquirer Funding Status,Acquirer's Number of Funding Rounds,CB Rank (Acquisition)
adviqo Group acquired by Ingenio,https://www.crunchbase.com/acquisition/ingenio-acquires-adviqo--37f73a6d,"Berlin, Berlin, Germany",adviqo Group,https://www.crunchbase.com/organization/adviqo,Ingenio,https://www.crunchbase.com/organization/ingenio,2022-05-02,day,Merger,,,,,adviqo helps people to take their lives into their hands and develop their spirituality.,Series D,"Mobile Apps, Online Portals",http://www.adviqo.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$50M to $100M,M&A,2,,,,"Ingenio is a knowledge-commerce platform, connecting customers and advisors through its proprietary web and telephony technology solutions.","Apps, E-Commerce, E-Commerce Platforms, Information Services, Information Technology, Internet, Messaging, Mobile, Software, Wellness","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",http://www.ingenio.com,$10M to $50M,289000000,USD,289000000,M&A,3,"142,587"
Agon Digital acquired by ShowHeroes Group,https://www.crunchbase.com/acquisition/showheroes-acquires-agon-digital--fa21f882,"Berlin, Berlin, Germany",Agon Digital,https://www.crunchbase.com/organization/agon-digital,ShowHeroes Group,https://www.crunchbase.com/organization/showheroes,2022-06-14,day,Acquisition,,,,,Agon Digital offers integrated multichannel digital advertising solutions.,,"Advertising, Digital Marketing, Information Technology",https://agondigital.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"ShowHeroes Group is a leading global, independent provider of video solutions for digital publishers and advertisers.","Advertising, Mobile, Video","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://showheroes-group.com/,$100M to $500M,,,,Seed,1,"21,681"
AiSight acquired by Sensirion,https://www.crunchbase.com/acquisition/sensirion-acquires-aisight--8a6e3477,"Berlin, Berlin, Germany",AiSight,https://www.crunchbase.com/organization/aisight,Sensirion,https://www.crunchbase.com/organization/sensirion,2021-09-20,day,Acquisition,,,,,Automating machine diagnostics for manufacturing,Convertible Note,"Artificial Intelligence (AI), Hardware, Internet of Things, Machine Learning, Manufacturing, SaaS, Sensor, Software",https://aisight.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,4,3461000,USD,3461000,"Sensirion stands for high technology, innovative spirit and outstanding excellence.","CleanTech, Manufacturing, Sensor","Stafa, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",http://www.sensirion.com,$1M to $10M,,,,IPO,,"160,659"
Aitme acquired by Circus Group,https://www.crunchbase.com/acquisition/circuskitchens-acquires-aitme--3cf014d5,"Berlin, Berlin, Germany",Aitme,https://www.crunchbase.com/organization/aitme,Circus Group,https://www.crunchbase.com/organization/circuskitchens,2023-08-29,day,Acquisition,,,,,Fully automated Robotic Kitchen,Venture - Series Unknown,"Food and Beverage, Robotics, Software",http://www.aitme.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,12323724,USD,12323724,Disrupting food-service operations with the use of AI robotics and proprietary software solutions.,"Artificial Intelligence (AI), Manufacturing, Robotics","Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.circus-group.com/,,26900000,EUR,28967988,IPO,4,"77,330"
akvola Technologies acquired by STEFFEN HARTMANN,https://www.crunchbase.com/acquisition/steffen-hartmann-8fca-acquires-akvolution--93eab229,"Berlin, Berlin, Germany",akvola Technologies,https://www.crunchbase.com/organization/akvolution,STEFFEN HARTMANN,https://www.crunchbase.com/organization/steffen-hartmann-8fca,2021-08-01,day,,,,,,akvola Technologies is a German water technology company that markets package plants based on a ceramic flotation-filtration process.,Series A,"Industrial Engineering, Mechanical Engineering, Packaging Services, Water Purification",http://www.akvola.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,3,,,,STEFFEN HARTMANN is a developer and manufacturer of plants and technologies for water treatment and surface treatment.,"Industrial Engineering, Industrial Manufacturing, Manufacturing","Thale, Sachsen-Anhalt, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.steffenhartmann.info,$1M to $10M,,,,,,"148,774"
ALBA Europe Holding acquired by Computacenter,https://www.crunchbase.com/acquisition/computacenter-acquires-alba-e679--fe8bd08e,"Berlin, Berlin, Germany",ALBA Europe Holding,https://www.crunchbase.com/organization/alba-e679,Computacenter,https://www.crunchbase.com/organization/computacenter,2021-04-09,day,Acquisition,,,,,"ALBA Europe Holding is an environmental service provider of raw materials and offers disposal, recycling, and commodity trading.",,"Environmental Consulting, Information Technology, Logistics, Recycling, Waste Management",https://www.alba.info/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1B to $10B,M&A,,,,,"Computacenter provides IT infrastructure services and solutions in the United Kingdom, Germany, France, and Belgium.","CRM, Hardware, Information Technology, Software","Hatfield, Hertford, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://www.computacenter.com,$1B to $10B,,,,M&A,,"30,115"
Alpaca acquired by Boom,https://www.crunchbase.com/acquisition/boom-1f1d-acquires-alpaca--37d9a555,"Berlin, Berlin, Germany",Alpaca,https://www.crunchbase.com/organization/alpaca,Boom,https://www.crunchbase.com/organization/boom-1f1d,2023-07-27,day,Acquisition,,,,,Alpaca is a tech start-up that helps both renters and landlords throughout the tedious journey of renting apartments.,Non-equity Assistance,"Artificial Intelligence (AI), Consumer, Facebook, Home Services, Machine Learning, Marketplace, Rental Property",https://rentalpaca.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,100000,USD,100000,Boom provides financial solutions to produce credit and rent payments.,"Financial Services, FinTech, Mobile Payments","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",https://boompay.app,$1M to $10M,4500000,USD,4500000,Seed,4,"14,210"
Alphalytik Pharmaservice acquired by Certania,https://www.crunchbase.com/acquisition/certania-3fba-acquires-alphalytik-pharmaservice--6d81bec0,"Berlin, Berlin, Germany",Alphalytik Pharmaservice,https://www.crunchbase.com/organization/alphalytik-pharmaservice,Certania,https://www.crunchbase.com/organization/certania-3fba,2024-09-04,day,Acquisition,,,,,"Alphalytik Pharmaservice is a specialized pharmaceutical laboratory offering drug stability testing, method development, and release.",,"Chemical, Manufacturing",https://www.alphalytik.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Certania provides services in Food & Environment, Pharma & Life Science, ESG Analytics, and Climate Strategy.","B2B, Environmental Consulting, Service Industry","Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://certania.com,,,,,,,"4,006"
Amorelie acquired by EQOM Group,https://www.crunchbase.com/acquisition/eqom-group-acquires-amorelie--08e2c2dd,"Berlin, Berlin, Germany",Amorelie,https://www.crunchbase.com/organization/amorelie,EQOM Group,https://www.crunchbase.com/organization/eqom-group,2021-10-01,day,Acquisition,,,,,Amorelie is a fashionable onlineshop for Lovelife.,Seed,"E-Commerce, Internet, Toys",http://www.amorelie.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,1,,,,EQOM Group operates various e-commerce stores in the sexual wellness sector.,"E-Commerce, Internet, Lifestyle, Sex Industry, Toys, Wellness","Veendam, Groningen, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.eqom.com/,$1M to $10M,,,,,,"140,891"
Antoni acquired by Omnicom Group,https://www.crunchbase.com/acquisition/omnicom-group-acquires-antoni--87f2aaeb,"Berlin, Berlin, Germany",Antoni,https://www.crunchbase.com/organization/antoni,Omnicom Group,https://www.crunchbase.com/organization/omnicom-group,2021-09-20,day,Acquisition,,,,,"Antoni is a creative communication, marketing, and advertising agency that focuses on campaign and promotion of Mercedes-Benz.",,"Advertising, Brand Marketing, Event Promotion, Marketing",http://www.antoni.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,Omnicom Group provides advertising and marketing communications services for their clients.,"Advertising, Consulting, Direct Marketing, Marketing, Public Relations","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",http://www.omnicomgroup.com/,$10B+,1688710271,USD,1688710271,M&A,3,"135,827"
