Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Convertible Note - 1aim,https://www.crunchbase.com/funding_round/1aim-gmbh-convertible-note--b12d1c88,1aim,https://www.crunchbase.com/organization/1aim-gmbh,Convertible Note,"Berlin, Berlin, Germany, Europe",3400000,USD,3400000,2018-03-01,,,,,No,1aim is redefining buildings by providing businesses with a full-stack platform that optimises and automates building management. ,"Information Services, Information Technology, Software",,https://www.1aim.com,$1M to $10M,5800000,USD,5800000,M&A,3,Franz Schneider Brakel GmbH + Co KG,2,,"Franz Schneider Brakel GmbH + Co KG, Hörmann","605,013"
Seed Round - 3G Proxy,https://www.crunchbase.com/funding_round/3g-proxy-seed--905965bf,3G Proxy,https://www.crunchbase.com/organization/3g-proxy,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-06-01,Seed,,,,Yes,"3G Proxy is enabling you to test your services, analyze competition and look for vulnerabilities.",Internet,,https://3gproxy.com/,,,,,Seed,1,Langenberg Ventures,1,,Langenberg Ventures,"567,952"
Private Equity Round - 50Hertz,https://www.crunchbase.com/funding_round/50hertz-private-equity--afb1a751,50Hertz,https://www.crunchbase.com/organization/50hertz,Private Equity,"Berlin, Berlin, Germany, Europe",1200000000,USD,1200000000,2018-03-23,Private Equity,4800000000,USD,4800000000,Yes,50Hertz is a high-voltage energy network operator.,"Electrical Distribution, Energy, Energy Management",,http://www.50hertz.com,$10B+,1200000000,USD,1200000000,Private Equity,1,,1,,Elia System Operator,"509,721"
Pre Seed Round - 7Fields,https://www.crunchbase.com/funding_round/7fields-pre-seed--89fd5ac1,7Fields,https://www.crunchbase.com/organization/7fields,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-04-01,Seed,,,,Yes,"Integrated AI-enabled Development & Coaching Platform , SaaS, Mobile App","Artificial Intelligence (AI), E-Learning, EdTech, Human Resources, Information Technology, Machine Learning, SaaS",,https://www.7fields.io,Less than $1M,,,,Seed,1,Push! Founders,1,,Push! Founders,"657,635"
Seed Round - ABATONHealth,https://www.crunchbase.com/funding_round/abatonhealth-seed--3ae91fed,ABATONHealth,https://www.crunchbase.com/organization/abatonhealth,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-07-23,Seed,,,,Yes,ABATONHealth develops a digital application that enables patients with rheumatoid arthritis to receive high-quality therapy.,"Health Care, Medical, Wellness",,https://www.abaton.info/,,,,,Seed,1,,1,,Startupbootcamp,"410,087"
Grant - Adaptant Solutions,https://www.crunchbase.com/funding_round/adaptant-solutions-ag-grant--d9846619,Adaptant Solutions,https://www.crunchbase.com/organization/adaptant-solutions-ag,Grant,"Berlin, Berlin, Germany, Europe",422500,EUR,485516,2018-12-31,,,,,No,"Adaptant is a research-performing software, solutions, and services company dedicated to empowering users over their data.","Apps, Automotive, Autonomous Vehicles, Computer Vision, Consulting, Developer Tools, Privacy, Software",,https://www.adaptant.io,Less than $1M,1502500,EUR,1629160,,2,,1,,Horizon 2020,"392,213"
Series D - Adrenomed,https://www.crunchbase.com/funding_round/adrenomed-ag-series-d--077e3fe6,Adrenomed,https://www.crunchbase.com/organization/adrenomed-ag,Series D,"Berlin, Berlin, Germany, Europe",24000000,EUR,27113221,2018-11-27,Late Stage Venture,,,,Yes,"Adrenomed is a privately-financed, clinical-stage biopharmaceutical company.","Biotechnology, Medical, Pharmaceutical",,http://www.adrenomed.com,$1M to $10M,49114581,EUR,56828268,Late Stage Venture,7,"HBM Healthcare Investments, Wellington Partners",2,,"HBM Healthcare Investments, Wellington Partners","533,678"
Pre Seed Round - Advanced Blockchain,https://www.crunchbase.com/funding_round/advanced-blockchain-pre-seed--374b33ec,Advanced Blockchain,https://www.crunchbase.com/organization/advanced-blockchain,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,We invest in early stage companies and help them grow by providing technical and operational resources to support them.,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Finance, Information Technology, Internet, Software, Venture Capital",,https://www.advancedblockchain.com,$1M to $10M,,,,Early Stage Venture,4,,,,,"98,008"
Angel Round - Advanced Blockchain,https://www.crunchbase.com/funding_round/advanced-blockchain-angel--43d85439,Advanced Blockchain,https://www.crunchbase.com/organization/advanced-blockchain,Angel,"Berlin, Berlin, Germany, Europe",,,,2018-04-01,Seed,,,,Yes,We invest in early stage companies and help them grow by providing technical and operational resources to support them.,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Finance, Information Technology, Internet, Software, Venture Capital",,https://www.advancedblockchain.com,$1M to $10M,,,,Early Stage Venture,4,,,,,"369,456"
Seed Round - ai4medicine,https://www.crunchbase.com/funding_round/ai4medicine-seed--f5e61b48,ai4medicine,https://www.crunchbase.com/organization/ai4medicine,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,ai4medicine AI-based platform for personalized prevention and treatment of stroke.,"Artificial Intelligence (AI), Health Care, Hospital, Machine Learning",,http://www.ai4medicine.com/,,,,,Seed,1,,1,,Startupbootcamp,"397,314"
