Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Venture Round - AICURA medical,https://www.crunchbase.com/funding_round/aicura-medical-series-unknown--76bf87fe,AICURA medical,https://www.crunchbase.com/organization/aicura-medical,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",500000,EUR,588166,2018-09-25,,,,,Yes,AICURA medical provides a platform and tools that are used to improve and enable personalized medicine innovation.,"Health Care, Medical, Medical Device, Precision Medicine, Software",,https://aicura-medical.com/,Less than $1M,500000,EUR,588166,Seed,3,,,,,"593,627"
Pre Seed Round - Aignostics,https://www.crunchbase.com/funding_round/aignostics-pre-seed--9b1679ca,Aignostics,https://www.crunchbase.com/organization/aignostics,Pre-Seed,"Berlin, Berlin, Germany, Europe",200000,EUR,232910,2018-07-18,Seed,,,,Yes,Aignostics is an AI-powered precision diagnostics focused on pathology to assist with drug development and clinical research.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Software",,http://www.aignostics.com,$100M to $500M,54841427,USD,54841427,Early Stage Venture,5,,,,,"246,683"
Seed Round - AIPARK,https://www.crunchbase.com/funding_round/aipark-seed--0eb4f4a4,AIPARK,https://www.crunchbase.com/organization/aipark,Seed,"Berlin, Berlin, Germany, Europe",850000,EUR,982773,2018-09-07,Seed,,,,Yes,AIPARK provides live parking maps,,,https://aipark.io/,Less than $1M,1100000,EUR,1255488,Seed,3,Atlantic Labs,2,1,"Angel Invest, Atlantic Labs","611,690"
Pre Seed Round - AirGateway,https://www.crunchbase.com/funding_round/airgateway-pre-seed--67e0ffb6,AirGateway,https://www.crunchbase.com/organization/airgateway,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-11-05,Seed,,,,Yes,Enabling the NDC age for the airline distribution industry,"Air Transportation, Data Integration, Information Technology, Travel",,http://airgateway.com,$1B to $10B,1000000,EUR,1135530,Seed,2,HTGF | High-Tech Gruenderfonds,1,,HTGF | High-Tech Gruenderfonds,"537,886"
Pre Seed Round - Airteam Aerial Intelligence,https://www.crunchbase.com/funding_round/airteam-pre-seed--de0f31db,Airteam Aerial Intelligence,https://www.crunchbase.com/organization/airteam,Pre-Seed,"Berlin, Berlin, Germany, Europe",400000,EUR,462022,2018-10-02,Seed,,,,Yes,Airteam is an AI-powered software that converts aerial data from drones into CAD models.,"Artificial Intelligence (AI), Construction, Software, Solar",,https://airteam.ai/,$1M to $10M,2300000,EUR,2661026,Seed,5,,1,,Startupbootcamp,"387,179"
Grant - AiSight,https://www.crunchbase.com/funding_round/aisight-grant--debbf726,AiSight,https://www.crunchbase.com/organization/aisight,Grant,"Berlin, Berlin, Germany, Europe",75000,USD,75000,2018-07-01,,,,,No,Automating machine diagnostics for manufacturing,"Artificial Intelligence (AI), Hardware, Internet of Things, Machine Learning, Manufacturing, SaaS, Sensor, Software",,https://aisight.de,$1M to $10M,3461000,USD,3461000,M&A,4,European Social Fund (ESF),1,,European Social Fund (ESF),"523,576"
Pre Seed Round - AiSight,https://www.crunchbase.com/funding_round/aisight-pre-seed--ff65aae0,AiSight,https://www.crunchbase.com/organization/aisight,Pre-Seed,"Berlin, Berlin, Germany, Europe",250000,USD,250000,2018-11-09,Seed,,,,Yes,Automating machine diagnostics for manufacturing,"Artificial Intelligence (AI), Hardware, Internet of Things, Machine Learning, Manufacturing, SaaS, Sensor, Software",,https://aisight.de,$1M to $10M,3461000,USD,3461000,M&A,4,SOSV,2,3,"HAX, SOSV","590,572"
Venture Round - Allmyhomes,https://www.crunchbase.com/funding_round/allmyhomes-series-unknown--3d0f58d3,Allmyhomes,https://www.crunchbase.com/organization/allmyhomes,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-09-26,,,,,Yes,Allmyhomes is development marketing made simple.,"Advertising, Information Technology",,https://www.allmyhomes.com,$10M to $50M,,,,,1,,1,,Round Hill Ventures,"334,926"
Venture Round - ALLVR,https://www.crunchbase.com/funding_round/allvr-series-unknown--63536eed,ALLVR,https://www.crunchbase.com/organization/allvr,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-06-01,,,,,Yes,ALLVR develops a cloud-based business platform for visualization and communication based on Virtual Reality technologies for the industrial.,"3D Technology, Architecture, Software, Virtual Reality",,http://www.allvr.de/,,,,,,1,,1,,blackprint,"351,077"
Pre Seed Round - Alpaca,https://www.crunchbase.com/funding_round/alpaca-pre-seed--f13335b2,Alpaca,https://www.crunchbase.com/organization/alpaca,Pre-Seed,"Berlin, Berlin, Germany, Europe",100000,USD,100000,2018-12-10,Seed,,,,Yes,Alpaca is a tech start-up that helps both renters and landlords throughout the tedious journey of renting apartments.,"Artificial Intelligence (AI), Consumer, Facebook, Home Services, Machine Learning, Marketplace, Rental Property",,https://rentalpaca.com,$1M to $10M,100000,USD,100000,M&A,2,,6,,"Alumni Ventures, Canaan Partners, Correlation Ventures, Elysium Venture Capital, Lightspeed Venture Partners, NextView Ventures","215,888"
Seed Round - alphin,https://www.crunchbase.com/funding_round/freachly-gmbh-seed--533f4833,alphin,https://www.crunchbase.com/organization/freachly-gmbh,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-06-26,Seed,,,,Yes,Digital platform for local business to manage their customer lifecycles.,"Advertising, Local Business, Marketing, Retail, SaaS, Software",,http://www.alphin.com,$1M to $10M,6000000,EUR,6094019,,3,HV Capital,3,2,"HV Capital, Partech, Saarbruecker 21","542,748"
Pre Seed Round - Anyl,https://www.crunchbase.com/funding_round/anyledger-pre-seed--355db1e8,Anyl,https://www.crunchbase.com/organization/anyledger,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-06-01,Seed,,,,Yes,Passwordless authentication for Internet of Things devices.,"Blockchain, Cryptocurrency, Embedded Software, Internet of Things",,https://anyl.site,,120000,USD,120000,Seed,2,,,,,"421,172"
Series B - Asana Rebel,https://www.crunchbase.com/funding_round/asana-yoga-series-b--b379c731,Asana Rebel,https://www.crunchbase.com/organization/asana-yoga,Series B,"Berlin, Berlin, Germany, Europe",17400000,USD,17400000,2018-09-04,Early Stage Venture,,,,Yes,Asana Rebel is a young and growing startup committed to creating highly engaging health and fitness experiences.,"Apps, Fitness, Health Care, Lifestyle, Nutrition, Wellness",,http://www.asanarebel.com/,$1M to $10M,24800000,USD,24800000,Early Stage Venture,4,"Greycroft, Headline",3,2,"Greycroft, Headline, HTGF | High-Tech Gruenderfonds","575,610"
Series A - Asana Rebel,https://www.crunchbase.com/funding_round/asana-yoga-series-a--515e3a4a,Asana Rebel,https://www.crunchbase.com/organization/asana-yoga,Series A,"Berlin, Berlin, Germany, Europe",6500000,USD,6500000,2018-01-02,Early Stage Venture,,,,Yes,Asana Rebel is a young and growing startup committed to creating highly engaging health and fitness experiences.,"Apps, Fitness, Health Care, Lifestyle, Nutrition, Wellness",,http://www.asanarebel.com/,$1M to $10M,24800000,USD,24800000,Early Stage Venture,4,"Headline, La Famiglia",3,1,"Headline, HTGF | High-Tech Gruenderfonds, La Famiglia","586,093"
Seed Round - AskBy.ai,https://www.crunchbase.com/funding_round/askby-ai-seed--3d60dbe1,AskBy.ai,https://www.crunchbase.com/organization/askby-ai,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-03-01,Seed,,,,Yes,The NLP Company - Understanding Natural Language.,"Artificial Intelligence (AI), Business Intelligence, Machine Learning, Natural Language Processing, Semantic Search, Text Analytics",,https://www.askby.ai,Less than $1M,,,,Seed,1,SquareOne Venture Capital,1,1,SquareOne Venture Capital,"576,260"
Seed Round - AssistMe,https://www.crunchbase.com/funding_round/assistme-seed--c51fed20,AssistMe,https://www.crunchbase.com/organization/assistme,Seed,"Berlin, Berlin, Germany, Europe",600000,EUR,743483,2018-01-25,Seed,,,,Yes,We are digital pioneers for scientifically based and practice-proven smart assistance solutions to support the care.,"Elder Care, Health Care, Home Health Care, Internet of Things, Medical Device, Outpatient Care, Personal Health, SaaS",,https://www.assistme.io/,$1M to $10M,5050000,EUR,5681542,Early Stage Venture,5,,,,,"361,428"
Venture Round - Atheneum,https://www.crunchbase.com/funding_round/atheneum-partners-series-unknown--f67df8dd,Atheneum,https://www.crunchbase.com/organization/atheneum-partners,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",10000000,USD,10000000,2018-09-13,,,,,Yes,Atheneum is a knowledge sharing platform that offers corporations access to up-to-date market insights for better business decisions.,"Big Data, Business Intelligence, Information Services, Machine Learning, Market Research",,https://www.atheneum.ai,$10M to $50M,200733743,USD,200733743,,7,Crosslantic Capital,1,,Crosslantic Capital,"163,555"
Venture Round - AUTO1 Fintech,https://www.crunchbase.com/funding_round/auto1-com-series-unknown--6d751617,AUTO1 Fintech,https://www.crunchbase.com/organization/auto1-com,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-06-06,,,,,Yes,AUTO1 Fintech is a platform offering instant financing and insurance products to automobile dealerships buying and selling used vehicles.,"Auto Insurance, Automotive, E-Commerce, Financial Services, FinTech, Insurance, Retail Technology",,http://www.auto1-fintech.com,Less than $1M,,,,,1,,3,,"Allianz X, Deutsche Bank, Polar Light Ventures","321,525"
Series F - AUTO1 Group,https://www.crunchbase.com/funding_round/auto1-group-series-f--ad497df3,AUTO1 Group,https://www.crunchbase.com/organization/auto1-group,Series F,"Berlin, Berlin, Germany, Europe",460000000,EUR,564272475,2018-01-15,Late Stage Venture,2440000000,EUR,2993097476,Yes,AUTO1 Group is an online automotive platform that aims to connect buyers and sellers of cars throughout Europe.,"Automotive, Internet, Marketplace",,http://www.auto1-group.com,$1B to $10B,1387053390,USD,1387053390,IPO,12,SoftBank Vision Fund,2,3,"DN Capital, SoftBank Vision Fund","606,246"
Seed Round - Autobahn,https://www.crunchbase.com/funding_round/autobahn-seed--f7db260b,Autobahn,https://www.crunchbase.com/organization/autobahn,Seed,"Berlin, Berlin, Germany, Europe",500000,USD,500000,2018-05-02,Seed,,,,Yes,Vehicles Sales Platform (VSP) connecting the automotive industry,"Automotive, Cloud Infrastructure, Hardware, Internet of Things, SaaS, Software",,http://www.autobahn.tech,$10M to $50M,2235091,USD,2235091,Private Equity,5,,,,,"552,157"
Seed Round - AVA,https://www.crunchbase.com/funding_round/blockpeek-seed--da05de17,AVA,https://www.crunchbase.com/organization/blockpeek,Seed,"Berlin, Berlin, Germany, Europe",1800000,EUR,2234240,2018-03-07,Seed,,,,Yes,"Our mission is to enable individuals, organisations and societies to make the best-informed security decisions.","Big Data, Data Mining, Enterprise Software, Information Services, Information Technology, National Security, Public Safety, Risk Management, Security, Software",,https://ava.info/,$10M to $50M,4200000,EUR,5015405,,4,,,,,"444,046"
Series A - B2B Food Group,https://www.crunchbase.com/funding_round/eatfirst-series-a--26bbaf29,B2B Food Group,https://www.crunchbase.com/organization/eatfirst,Series A,"Berlin, Berlin, Germany, Europe",,,,2018-11-22,Early Stage Venture,,,,Yes,"B2B Food Group acquires, improves and grows software companies serving B2B clients.","Catering, Food and Beverage, Food Delivery, SaaS",,https://www.b2bfood.group,$10M to $50M,,,,Early Stage Venture,1,,5,,"Avala Capital, Confidential ‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎, Global Founders Capital, HV Capital, Target Global","652,234"
Pre Seed Round - Basaas - Enterprise Productivity Hub,https://www.crunchbase.com/funding_round/basaas-pre-seed--20c5ed03,Basaas - Enterprise Productivity Hub,https://www.crunchbase.com/organization/basaas,Pre-Seed,"Berlin, Berlin, Germany, Europe",150000,EUR,175371,2018-09-13,Seed,,,,Yes,Connect all apps into one solution and boost team productivity,"Data Integration, Enterprise Software, Productivity Tools, SaaS, Software, Task Management",,https://www.basaas.com,$1M to $10M,600000,EUR,709615,Seed,2,,,,,"537,572"
Seed Round - Basking.io,https://www.crunchbase.com/funding_round/basking-automation-seed--5ed2582c,Basking.io,https://www.crunchbase.com/organization/basking-automation,Seed,"Berlin, Berlin, Germany, Europe",120000,USD,120000,2018-09-10,Seed,,,,Yes,Basking.io is an AI & WiFi-based workplace occupancy analytics platform.,"Analytics, Artificial Intelligence (AI), Location Based Services, Real Estate, SaaS, Software",,http://basking.io,,120000,USD,120000,Seed,3,Techstars,1,1,Techstars,"289,454"
Venture Round - Baze,https://www.crunchbase.com/funding_round/sanalytica-series-unknown--a7144091,Baze,https://www.crunchbase.com/organization/sanalytica,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-05-31,,,,,Yes,"Baze are enable every person to achieve their best health through a science-led, results-driven food and supplement platform.","Beauty, Fitness, Health Care, Wellness",,https://www.baze.com/,$1M to $10M,6000000,USD,6000000,M&A,3,,2,,"Ringier Digital Ventures, Sanner Ventures","386,910"
Grant - BEAD Technology,https://www.crunchbase.com/funding_round/positive-energy-grant--1fd64570,BEAD Technology,https://www.crunchbase.com/organization/positive-energy,Grant,"Berlin, Berlin, Germany, Europe",,,,2018-09-27,,,,,No,BEAD creates digital models of buildings by using real-time data and AI.,"Artificial Intelligence (AI), Internet of Things, Smart Building",,http://www.enbead.com,Less than $1M,475000,USD,475000,Seed,10,European Data Incubator,1,,European Data Incubator,"424,774"
Seed Round - BEAD Technology,https://www.crunchbase.com/funding_round/positive-energy-seed--837993e3,BEAD Technology,https://www.crunchbase.com/organization/positive-energy,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,BEAD creates digital models of buildings by using real-time data and AI.,"Artificial Intelligence (AI), Internet of Things, Smart Building",,http://www.enbead.com,Less than $1M,475000,USD,475000,Seed,10,,,,,"435,060"
Grant - Belyntic,https://www.crunchbase.com/funding_round/belyntic-grant--30f744c9,Belyntic,https://www.crunchbase.com/organization/belyntic,Grant,"Berlin, Berlin, Germany, Europe",220000,EUR,263806,2018-05-01,,,,,No,Novel paradigm-shifting vaccines with emphasis on cellular immunity,"Biotechnology, Health Care, Life Science, Pharmaceutical",,https://belyntic.com/,$1M to $10M,3320000,EUR,3788227,M&A,5,EXIST,1,,EXIST,"341,074"
Seed Round - Beovita Vital,https://www.crunchbase.com/funding_round/beovita-vital-seed--305117a8,Beovita Vital,https://www.crunchbase.com/organization/beovita-vital,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,Beovita Vital is provides health care products for gum problems.,"Dental, Health Care, Medical",,https://www.parodont-gel.de/,,,,,Seed,1,seed + speed Ventures,1,,seed + speed Ventures,"584,712"
Grant - Berlin Space Consortium,https://www.crunchbase.com/funding_round/berlin-space-consortium-grant--85ff3ce6,Berlin Space Consortium,https://www.crunchbase.com/organization/berlin-space-consortium,Grant,"Berlin, Berlin, Germany, Europe",71429,EUR,83304,2018-08-01,,,,,No,Berlin Space Consortium is a local space technology network in the larger Berlin area that mainly consists of space specialists.,Aerospace,,https://www.berlin-space-consortium.de,Less than $1M,71429,EUR,83304,,1,,1,,EASME,"407,973"
Venture Round - Bitbond,https://www.crunchbase.com/funding_round/bitbond-series-unknown--54391ba3,Bitbond,https://www.crunchbase.com/organization/bitbond,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",1600000,EUR,1884239,2018-09-20,,,,,Yes,Bitbond supports hundreds of customers with leading tokenization infrastructure and expertise.,"Blockchain, Cryptocurrency, Enterprise Software, FinTech, Web3",,https://www.bitbond.com,$1B to $10B,13195348,USD,13195348,,7,Sekip Can Gokalp,3,,"Hevella Capital, Point Nine, Sekip Can Gokalp","230,112"
Series D - Blacklane,https://www.crunchbase.com/funding_round/blacklane-series-d--e2fcafd2,Blacklane,https://www.crunchbase.com/organization/blacklane,Series D,"Berlin, Berlin, Germany, Europe",40000000,USD,40000000,2018-01-24,Late Stage Venture,,,,Yes,Blacklane is a professional chauffeur service that connects users to drivers through their mobile app.,"Apps, Hospitality, Mobile Apps, Professional Services, Tourism, Transportation, Travel",,http://www.blacklane.com,$1M to $10M,203447599,USD,203447599,Late Stage Venture,12,Al Fahim Group,3,1,"Al Fahim Group, b2venture, Mercedes-Benz Group AG","367,763"
Seed Round - Blindfeed,https://www.crunchbase.com/funding_round/blindfeed-seed--aa65572d,Blindfeed,https://www.crunchbase.com/organization/blindfeed,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-06-01,Seed,,,,Yes,Helping teams around the world become stronger than the sum of their parts through meaningful feedback,Collaboration,,https://www.blindfeed.com/,,,,,Seed,1,,1,,Fly Ventures,"476,791"
Series C - Blinkist,https://www.crunchbase.com/funding_round/blinkist-series-c--4bffe0f2,Blinkist,https://www.crunchbase.com/organization/blinkist,Series C,"Berlin, Berlin, Germany, Europe",18800000,USD,18800000,2018-06-20,Late Stage Venture,,,,Yes,Blinkist offers an app that allows its users to read the most important insights from non-fiction books in 15 minutes.,"Books, Education, Mobile Apps, Reading Apps",,https://blinkist.com,$10M to $50M,34771978,USD,34771978,M&A,5,Insight Partners,5,4,"Greycroft, Headline, IBB Ventures, Insight Partners, Ulf Stahrenberg","350,945"
Pre Seed Round - Bliq,https://www.crunchbase.com/funding_round/bliq-pre-seed--e75b98dc,Bliq,https://www.crunchbase.com/organization/bliq,Pre-Seed,"Berlin, Berlin, Germany, Europe",1100000,EUR,1279248,2018-09-15,Seed,,,,Yes,Bliq empowers gig workers in the transport industry to manage their workflow across multiple platform jobs.,"Delivery Service, Information Technology, Same Day Delivery, Sharing Economy, Transportation",,https://bliq.ai/,$10M to $50M,22151981,USD,22151981,Early Stage Venture,4,Atlantic Labs,3,,"Angel Invest, Atlantic Labs, Christian Dahlen","395,948"
Pre Seed Round - Blok-Z,https://www.crunchbase.com/funding_round/blok-z-pre-seed--2dded335,Blok-Z,https://www.crunchbase.com/organization/blok-z,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-06-15,Seed,,,,Yes,"SaaS, CleanTech, Blockchain, Energy, Renewable","Blockchain, CleanTech, Energy, GreenTech, SaaS, Software",,http://www.blok-z.com,Less than $1M,500000,USD,500000,Seed,5,Growth Circuit,1,,Growth Circuit,"461,403"
Angel Round - BOCAhealthcare GmbH,https://www.crunchbase.com/funding_round/boca-health-angel--63f06780,BOCAhealthcare GmbH,https://www.crunchbase.com/organization/boca-health,Angel,"Berlin, Berlin, Germany, Europe",20000,EUR,23269,2018-09-05,Seed,,,,Yes,BOCAhealth is a patented portable device (connected to an app) that is able to measure and keep track of the hydration status.,"Fitness, Health Care, Medical, Mobile Apps",,https://www.boca-health.com/,Less than $1M,356800,EUR,402548,,8,,,,,"389,089"
Series B - bonify,https://www.crunchbase.com/funding_round/bonify-series-b--4132584c,bonify,https://www.crunchbase.com/organization/bonify,Series B,"Berlin, Berlin, Germany, Europe",,,,2018-11-14,Early Stage Venture,,,,Yes,Bonify is a Fintech startup based in Berlin that offers credit scoring tools and services to its users.,"Credit, Finance, Financial Services, FinTech, Personal Finance",,https://www.bonify.de,$1M to $10M,5500000,EUR,5834949,M&A,4,Mouro Capital,4,2,"DN Capital, Mosaic Ventures, Mouro Capital, Ribbit Capital","326,293"
Series B - bookingkit,https://www.crunchbase.com/funding_round/bookingkit-series-b--43ee04e6,bookingkit,https://www.crunchbase.com/organization/bookingkit,Series B,"Berlin, Berlin, Germany, Europe",,,,2018-02-26,Early Stage Venture,,,,Yes,"bookingkit offers booking software for tours, activities, and attractions.","Marketing, Reservations, Software, Tourism, Travel",,https://bookingkit.net,$1M to $10M,5000000,EUR,5883447,,6,Robert André Kabs,2,,"Müller Medien, Robert André Kabs","403,950"
Seed Round - BOOST Thyroid,https://www.crunchbase.com/funding_round/boost-by-vlm-health-seed--39a5824e,BOOST Thyroid,https://www.crunchbase.com/organization/boost-by-vlm-health,Seed,"Berlin, Berlin, Germany, Europe",320000,EUR,368777,2018-08-09,Seed,,,,Yes,BOOST Thyroid is the first digital and the only science solution helping people with thyroid disease prevent long-term health complications.,"Biotechnology, Health Care, Health Diagnostics, mHealth, Personal Health",,http://www.boostthyroid.com,,690405,USD,690405,,9,,6,,"Christian Jantzen, German Federal Ministry of Education and Research, Hampus Jakobsson, Simon Josefsson, Sophia Bendz, Wave Ventures","254,716"
Convertible Note - BOOST Thyroid,https://www.crunchbase.com/funding_round/boost-by-vlm-health-convertible-note--517dd7e8,BOOST Thyroid,https://www.crunchbase.com/organization/boost-by-vlm-health,Convertible Note,"Berlin, Berlin, Germany, Europe",35000,EUR,42233,2018-01-04,,,,,No,BOOST Thyroid is the first digital and the only science solution helping people with thyroid disease prevent long-term health complications.,"Biotechnology, Health Care, Health Diagnostics, mHealth, Personal Health",,http://www.boostthyroid.com,,690405,USD,690405,,9,,,,,"455,517"
Seed Round - BOOST Thyroid,https://www.crunchbase.com/funding_round/boost-by-vlm-health-seed--7685d4db,BOOST Thyroid,https://www.crunchbase.com/organization/boost-by-vlm-health,Seed,"Berlin, Berlin, Germany, Europe",50000,EUR,57278,2018-11-19,Seed,,,,Yes,BOOST Thyroid is the first digital and the only science solution helping people with thyroid disease prevent long-term health complications.,"Biotechnology, Health Care, Health Diagnostics, mHealth, Personal Health",,http://www.boostthyroid.com,,690405,USD,690405,,9,Horizon 2020,1,,Horizon 2020,"667,260"
Seed Round - BOOST Thyroid,https://www.crunchbase.com/funding_round/boost-by-vlm-health-seed--a3ef744a,BOOST Thyroid,https://www.crunchbase.com/organization/boost-by-vlm-health,Seed,"Berlin, Berlin, Germany, Europe",30000,EUR,37227,2018-03-27,Seed,,,,Yes,BOOST Thyroid is the first digital and the only science solution helping people with thyroid disease prevent long-term health complications.,"Biotechnology, Health Care, Health Diagnostics, mHealth, Personal Health",,http://www.boostthyroid.com,,690405,USD,690405,,9,Fast Track Malmo,1,,Fast Track Malmo,"471,863"
