Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Series A - Advanced Blockchain,https://www.crunchbase.com/funding_round/advanced-blockchain-series-a--1b347cb8,Advanced Blockchain,https://www.crunchbase.com/organization/advanced-blockchain,Series A,"Berlin, Berlin, Germany, Europe",,,,2021-03-04,Early Stage Venture,,,,Yes,We invest in early stage companies and help them grow by providing technical and operational resources to support them.,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Finance, Information Technology, Internet, Software, Venture Capital",,https://www.advancedblockchain.com,$1M to $10M,,,,Early Stage Venture,4,,,,,"388,722"
Series A - Afilio,https://www.crunchbase.com/funding_round/afilio-af04-series-a--f7ca4b1f,Afilio,https://www.crunchbase.com/organization/afilio-af04,Series A,"Berlin, Berlin, Germany, Europe",13000000,USD,13000000,2021-08-11,Early Stage Venture,,,,Yes,Afilio is a retirement planning platform that creates and manages pension and estate documents.,"Finance, Financial Services, Insurance, InsurTech, Retirement",,https://www.afilio.de,$1B to $10B,13000000,USD,13000000,Early Stage Venture,1,CommerzVentures,6,1,"Cavalry Ventures, Cherry Ventures, CommerzVentures, eToro, Marqeta, Speedinvest","101,656"
Seed Round - Agrivero.ai,https://www.crunchbase.com/funding_round/agrivero-ai-seed--abed3946,Agrivero.ai,https://www.crunchbase.com/organization/agrivero-ai,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-01-01,Seed,,,,Yes,"Agrivero is a developer of an AI-enabled platform designed for quality control, analytics, and traceability of the coffee value chain.","Artificial Intelligence (AI), Software",,https://www.agrivero.ai/,,,,,Seed,1,BFF Berlin Founders Fund,1,,BFF Berlin Founders Fund,"86,824"
Pre Seed Round - Ahead App,https://www.crunchbase.com/funding_round/ahead-3d37-pre-seed--81d9343d,Ahead App,https://www.crunchbase.com/organization/ahead-3d37,Pre-Seed,"Berlin, Berlin, Germany, Europe",1120000,EUR,1298841,2021-10-13,Seed,,,,Yes,"Ahead is a personalized pocket coach that provides bite-sized, science-driven tools to boost emotional intelligence.",E-Learning,,http://ahead-app.com,$1M to $10M,1120000,EUR,1298841,Seed,2,Speedinvest,5,1,"Christian Rebernik, Julian Blessin, Philip Huffmann, Philipp Moehring, Speedinvest","567,890"
Seed Round - Airfarm,https://www.crunchbase.com/funding_round/airfarm-seed--53a78bd6,Airfarm,https://www.crunchbase.com/organization/airfarm,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-03-23,Seed,,,,Yes,Airfarm is a mobile app for the agricultural industry.,"Agriculture, Apps, Farming, Information Technology, Mobile Apps",,https://airfarm.io/,,,,,Seed,3,,1,,Innovation Nest,"114,269"
Seed Round - Airfarm,https://www.crunchbase.com/funding_round/airfarm-seed--955a71e2,Airfarm,https://www.crunchbase.com/organization/airfarm,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-08-13,Seed,,,,Yes,Airfarm is a mobile app for the agricultural industry.,"Agriculture, Apps, Farming, Information Technology, Mobile Apps",,https://airfarm.io/,,,,,Seed,3,FoodLabs,2,,"FJ Labs, FoodLabs","374,799"
Seed Round - Airteam Aerial Intelligence,https://www.crunchbase.com/funding_round/airteam-seed--46b79f88,Airteam Aerial Intelligence,https://www.crunchbase.com/organization/airteam,Seed,"Berlin, Berlin, Germany, Europe",800000,EUR,934589,2021-10-28,Seed,,,,Yes,Airteam is an AI-powered software that converts aerial data from drones into CAD models.,"Artificial Intelligence (AI), Construction, Software, Solar",,https://airteam.ai/,$1M to $10M,2300000,EUR,2661026,Seed,5,,1,,IBB Ventures,"96,678"
Convertible Note - AiSight,https://www.crunchbase.com/funding_round/aisight-convertible-note--5d78acb2,AiSight,https://www.crunchbase.com/organization/aisight,Convertible Note,"Berlin, Berlin, Germany, Europe",636000,USD,636000,2021-05-10,,,,,No,Automating machine diagnostics for manufacturing,"Artificial Intelligence (AI), Hardware, Internet of Things, Machine Learning, Manufacturing, SaaS, Sensor, Software",,https://aisight.de,$1M to $10M,3461000,USD,3461000,M&A,4,Startup Angels Alb-Bodensee,1,,Startup Angels Alb-Bodensee,"322,643"
Venture Round - Aitme,https://www.crunchbase.com/funding_round/aitme-series-unknown--1f40c10a,Aitme,https://www.crunchbase.com/organization/aitme,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",9000000,USD,9000000,2021-06-15,,,,,Yes,Fully automated Robotic Kitchen,"Food and Beverage, Robotics, Software",,http://www.aitme.com,$1M to $10M,12323724,USD,12323724,M&A,2,,4,,"Global Founders Capital, HV Capital, La Famiglia, Vorwerk Ventures","569,903"
Pre Seed Round - Akhetonics,https://www.crunchbase.com/funding_round/akhetonics-pre-seed--223427bd,Akhetonics,https://www.crunchbase.com/organization/akhetonics,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2021-12-13,Seed,,,,Yes,Akhetonics is creating the world's first all-optical XPU - a general-purpose photonic RISC processor for high-performance computing,"Network Hardware, Semiconductor, Software",,https://www.akhetonics.com,$1M to $10M,8623184,USD,8623184,Seed,4,Rheingau Founders,2,,"Rheingau Founders, Runa Capital","97,764"
Pre Seed Round - Alocai,https://www.crunchbase.com/funding_round/alocai-pre-seed--17813b85,Alocai,https://www.crunchbase.com/organization/alocai,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2021-10-21,Seed,,,,Yes,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.,"Artificial Intelligence (AI), Software","Women Founded, Women Led",https://www.alocai.com/,,,,,Seed,1,,1,,Female Founders Fund,"42,689"
Pre Seed Round - Alocai GmbH,https://www.crunchbase.com/funding_round/alocai-gmbh-pre-seed--1e16cd0e,Alocai GmbH,https://www.crunchbase.com/organization/alocai-gmbh,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2021-03-16,Seed,,,,Yes,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.,"Artificial Intelligence (AI), Gaming, Machine Learning, SaaS",,https://alocai.games/,,,,,Seed,1,,,,,"65,093"
Pre Seed Round - Alpas,https://www.crunchbase.com/funding_round/alpas-pre-seed--498b1005,Alpas,https://www.crunchbase.com/organization/alpas,Pre-Seed,"Berlin, Berlin, Germany, Europe",2700000,USD,2700000,2021-04-01,Seed,,,,Yes,Alpas develops software for procurement departments to identify suppliers 10x faster.,"B2B, Big Data, Enterprise Software, Information Technology, Procurement, Software",,https://alpas.ai/,$1M to $10M,2700000,USD,2700000,Seed,2,,1,,Y Combinator,"60,550"
Seed Round - Amperecloud,https://www.crunchbase.com/funding_round/ampere-cloud-seed--bc9df55a,Amperecloud,https://www.crunchbase.com/organization/ampere-cloud,Seed,"Berlin, Berlin, Germany, Europe",2500000,EUR,2906270,2021-10-21,Seed,,,,Yes,Amperecloud is the leading Operating System for Renewables.,"Clean Energy, Energy, Energy Efficiency, Energy Management, Environmental Consulting, Hardware, Internet of Things, Renewable Energy, Software",,https://www.amperecloud.com/,$1M to $10M,10800000,EUR,11913141,Early Stage Venture,3,,5,,"Business Angels Club Berlin-Brandenburg e.V., HGDF, Martin Herrmann, Stefan Müller, Vireo Ventures","657,874"
Seed Round - Amuzed,https://www.crunchbase.com/funding_round/amuzed-seed--3ccdb33a,Amuzed,https://www.crunchbase.com/organization/amuzed,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-11-29,Seed,,,,Yes,Amuzed is an NFT-based game and marketplace for music artist collectibles.,"Information Technology, Music",,https://www.amuzed.io/,$1M to $10M,,,,Seed,2,,4,,"Alexander Luik, Nils Wilde, Roman Kirsch, TA Ventures","116,623"
Seed Round - ANYMOVE,https://www.crunchbase.com/funding_round/anymove-152b-seed--c664b842,ANYMOVE,https://www.crunchbase.com/organization/anymove-152b,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-04-01,Seed,,,,Yes,Car rental app platform designed to bring down car ownership and move the full transition to e-mobility forward.,"Transportation, Travel",,https://www.anymove.app/,,,,,Early Stage Venture,3,,1,,Leblon Capital,"204,659"
Seed Round - Apriwell,https://www.crunchbase.com/funding_round/apriwell-seed--dbe9d995,Apriwell,https://www.crunchbase.com/organization/apriwell,Seed,"Berlin, Berlin, Germany, Europe",3000000,EUR,3395970,2021-11-16,Seed,,,,Yes,Apriwell is a producer of digestive supplements for long-term digestive health.,"Food and Beverage, Health Care, Wellness",,https://www.apriwell.de/,,3000000,EUR,3395970,Seed,3,,2,,"Calm/Storm Ventures, Heal Capital","543,409"
Seed Round - Apryl,https://www.crunchbase.com/funding_round/oviavo-seed--8082b917,Apryl,https://www.crunchbase.com/organization/oviavo,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-10-01,Seed,,,,Yes,Apryl is a fertility benefits platform that helps in overcoming inequality.,"Health Care, Medical, Wellness",,https://apryl.co/,$1M to $10M,4100000,EUR,4306497,M&A,4,,1,,Loric Ventures,"545,419"
Series B - Architrave,https://www.crunchbase.com/funding_round/architrave-series-b--eb7de86c,Architrave,https://www.crunchbase.com/organization/architrave,Series B,"Berlin, Berlin, Germany, Europe",,,,2021-04-28,Early Stage Venture,,,,Yes,Architrave is to make the real estate industry more transparent and efficient by introducing genuinely digital processes.,"Archiving Service, Asset Management, Data Storage, Document Management, Information Services, Property Management, Real Estate, Real Estate Investment, Security, Software",,https://www.architrave.de/,$1M to $10M,2000000,EUR,2273213,Early Stage Venture,4,,,,,"505,111"
Seed Round - AreaOne,https://www.crunchbase.com/funding_round/areaone-bcf1-seed--5f8b009a,AreaOne,https://www.crunchbase.com/organization/areaone-bcf1,Seed,"Berlin, Berlin, Germany, Europe",250000,EUR,289989,2021-11-01,Seed,2000000,EUR,2319914,Yes,Matchingmaking for your perfect home,"Big Data, Data Integration, Real Estate, Search Engine, Smart Cities",,https://www.areaone.io,Less than $1M,346000,EUR,404447,Seed,2,High Rise Ventures,2,,"Hartmut Ostrowski, High Rise Ventures","135,844"
Seed Round - Assembly,https://www.crunchbase.com/funding_round/assembly-ba3e-seed--810bca3f,Assembly,https://www.crunchbase.com/organization/assembly-ba3e,Seed,"Berlin, Berlin, Germany, Europe",18000000,USD,18000000,2021-01-01,Seed,,,,Yes,Assembly uses Iota's feeless foundation layer as an immutable trust to alleviate the limits of current scaling methods.,"Cryptocurrency, Software",,https://assembly.sc/,,118000000,USD,118000000,,2,,8,5,"Du Capital, GSR, HashKey Capital, HTX, Hyperchain Capital, LD Capital, Signum Capital, UOB Venture","138,592"
Venture Round - Assembly,https://www.crunchbase.com/funding_round/assembly-ba3e-series-unknown--5ff654fc,Assembly,https://www.crunchbase.com/organization/assembly-ba3e,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",100000000,USD,100000000,2021-12-10,,,,,Yes,Assembly uses Iota's feeless foundation layer as an immutable trust to alleviate the limits of current scaling methods.,"Cryptocurrency, Software",,https://assembly.sc/,,118000000,USD,118000000,,2,"HTX, LD Capital",8,5,"Du Capital, GSR, HashKey Capital, HTX, Hyperchain Capital, LD Capital, Signum Capital, UOB Venture","484,932"
Venture Round - Atheneum,https://www.crunchbase.com/funding_round/atheneum-partners-series-unknown--2a6c4d2f,Atheneum,https://www.crunchbase.com/organization/atheneum-partners,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",150000000,USD,150000000,2021-08-26,,,,,Yes,Atheneum is a knowledge sharing platform that offers corporations access to up-to-date market insights for better business decisions.,"Big Data, Business Intelligence, Information Services, Machine Learning, Market Research",,https://www.atheneum.ai,$10M to $50M,200733743,USD,200733743,,7,Guidepost Growth Equity,7,2,"Ammad Ahmad, Crosslantic Capital, Guidepost Growth Equity, Marta Margolis, Mathias Wengeler, Michael Brehm, Vogel Communications Group","270,740"
Pre Seed Round - Atlas Metrics,https://www.crunchbase.com/funding_round/atlas-metrics-pre-seed--6dde8ea8,Atlas Metrics,https://www.crunchbase.com/organization/atlas-metrics,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2021-07-14,Seed,,,,Yes,"Simplify ESG, Automate Compliance","Business Information Systems, Information Technology, Software, Telecommunications",,https://www.atlasmetrics.io/,$1B to $10B,17400000,EUR,19252259,Early Stage Venture,3,,3,,"another.vc, Charlie Songhurst, Global Founders Capital","472,794"
Private Equity Round - Autobahn,https://www.crunchbase.com/funding_round/autobahn-private-equity--bfe1b07d,Autobahn,https://www.crunchbase.com/organization/autobahn,Private Equity,"Berlin, Berlin, Germany, Europe",300000,USD,300000,2021-01-07,Private Equity,,,,Yes,Vehicles Sales Platform (VSP) connecting the automotive industry,"Automotive, Cloud Infrastructure, Hardware, Internet of Things, SaaS, Software",,http://www.autobahn.tech,$10M to $50M,2235091,USD,2235091,Private Equity,5,,,,,"310,912"
Pre Seed Round - AUTOVIO,https://www.crunchbase.com/funding_round/autovio-pre-seed--4b6aba6e,AUTOVIO,https://www.crunchbase.com/organization/autovio,Pre-Seed,"Berlin, Berlin, Germany, Europe",1600000,EUR,1917176,2021-04-16,Seed,,,,Yes,Autovio provides a full-stack platform of software and business services for the driving education industry.,"Automotive, Consulting, Education, SaaS, Software",,https://autovio.de/,Less than $1M,8400000,EUR,9011613,Early Stage Venture,3,,,,,"212,584"
Venture Round - AVA,https://www.crunchbase.com/funding_round/blockpeek-series-unknown--d4b52a1f,AVA,https://www.crunchbase.com/organization/blockpeek,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2021-03-24,,,,,Yes,"Our mission is to enable individuals, organisations and societies to make the best-informed security decisions.","Big Data, Data Mining, Enterprise Software, Information Services, Information Technology, National Security, Public Safety, Risk Management, Security, Software",,https://ava.info/,$10M to $50M,4200000,EUR,5015405,,4,,,,,"298,735"
Seed Round - Avocargo,https://www.crunchbase.com/funding_round/avocargo-seed--bcba4393,Avocargo,https://www.crunchbase.com/organization/avocargo,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-11-22,Seed,,,,Yes,Avocargo facilitates end-users and companies to access shared electric cargo bikes.,"Automotive, Electronics, Information Technology",,https://www.avocargo.one/,,,,,Seed,1,,7,,"Alexander Eitner, EIT InnoEnergy, Florian Haus, Kenan Tur, STARTHUB VENTURES, Tobias Wittich, WestTech Ventures","103,904"
Seed Round - Aware,https://www.crunchbase.com/funding_round/aware-e3bc-seed--3f772069,Aware,https://www.crunchbase.com/organization/aware-e3bc,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-12-01,Seed,,,,Yes,Aware is a mobile app for evaluating health data and for researching chronic diseases.,"Apps, Health Care, Software, Wellness",,https://www.aware.app,,15000000,USD,15000000,Seed,2,Magnetic Capital,3,2,"Amino Collective, Atlantic Labs, Magnetic Capital","104,741"
Seed Round - Aware The Platform,https://www.crunchbase.com/funding_round/aware-the-platform-seed--23c007be,Aware The Platform,https://www.crunchbase.com/organization/aware-the-platform,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-07-15,Seed,,,,Yes,"aware is a platform that provides global insights and ideas about how sustainable innovations will change the way we think, live and act","E-Learning, Education, Training",,https://aware-theplatform.com/,,,,,Seed,1,Forward31,1,,Forward31,"126,225"
Pre Seed Round - Balanced - the Relationship app,https://www.crunchbase.com/funding_round/balanced-family-pre-seed--82a10be8,Balanced - the Relationship app,https://www.crunchbase.com/organization/balanced-family,Pre-Seed,"Berlin, Berlin, Germany, Europe",1000000,EUR,1136699,2021-11-15,Seed,,,,Yes,"Balanced Family provides knowledge, skills, motivation, and support to build, manage and enjoy relationships","Apps, Mental Health, Wellness",,http://balanced.family,,1000000,EUR,1136699,Seed,1,,,,,"134,274"
Seed Round - Banxware,https://www.crunchbase.com/funding_round/banxware-seed--79989302,Banxware,https://www.crunchbase.com/organization/banxware,Seed,"Berlin, Berlin, Germany, Europe",4000000,EUR,4816550,2021-02-03,Seed,,,,Yes,Banxware provides the technology and the funds for business financing of any kind: fully embedded in platforms or as an affiliate solution,"Banking, Financial Services, FinTech, Information Technology, Software",,https://banxware.com,$1M to $10M,29000000,EUR,32597158,Early Stage Venture,3,"Force Over Mass Capital, Redstone.VC",4,3,"Force Over Mass Capital, HTGF | High-Tech Gruenderfonds, Redstone.VC, VR Ventures","547,808"
Pre Seed Round - basenode.io,https://www.crunchbase.com/funding_round/basenode-io-pre-seed--a34e08e5,basenode.io,https://www.crunchbase.com/organization/basenode-io,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2021-06-01,Seed,,,,Yes,"SaaS, WebApp, Crypto Payments, Accounting","Accounting, Cryptocurrency",,http://www.basenode.io,,250000,EUR,283258,Seed,2,,1,,Blockchain Founders Group,"143,684"
Seed Round - Basking.io,https://www.crunchbase.com/funding_round/basking-automation-seed--e7067e7e,Basking.io,https://www.crunchbase.com/organization/basking-automation,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-08-12,Seed,,,,Yes,Basking.io is an AI & WiFi-based workplace occupancy analytics platform.,"Analytics, Artificial Intelligence (AI), Location Based Services, Real Estate, SaaS, Software",,http://basking.io,,120000,USD,120000,Seed,3,,3,,"Aconterra, Blue Field Capital, Ray Wirta","549,552"
Pre Seed Round - Beazy,https://www.crunchbase.com/funding_round/beazy-pre-seed--daccba8f,Beazy,https://www.crunchbase.com/organization/beazy,Pre-Seed,"Berlin, Berlin, Germany, Europe",193000,EUR,232910,2021-02-01,Seed,,,,Yes,"Beazy Is A SaaS-Enabled Marketplace For Content Production. Customers include H&M, Gorillas, Bolt, Zalando, Pinterest & many more.","Content, Film Production, Marketplace, Photography, SaaS, Sharing Economy, Software",,https://www.beazy.co,$1M to $10M,698000,EUR,772648,Seed,5,,,,,"442,875"
Seed Round - Becanex,https://www.crunchbase.com/funding_round/becanex-seed--a80c1e8f,Becanex,https://www.crunchbase.com/organization/becanex,Seed,"Berlin, Berlin, Germany, Europe",765000,EUR,943891,2021-01-06,Seed,,,,Yes,Becanex is a patented cannabis extraction company.,Chemical,,https://www.becanex.com/,$1M to $10M,765000,EUR,943891,Seed,1,,1,,IBB Ventures,"120,896"
Grant - Belyntic,https://www.crunchbase.com/funding_round/belyntic-grant--177afeb3,Belyntic,https://www.crunchbase.com/organization/belyntic,Grant,"Berlin, Berlin, Germany, Europe",400000,EUR,490006,2021-01-03,,,,,No,Novel paradigm-shifting vaccines with emphasis on cellular immunity,"Biotechnology, Health Care, Life Science, Pharmaceutical",,https://belyntic.com/,$1M to $10M,3320000,EUR,3788227,M&A,5,Federal Ministry for Economic Affairs and Energy (BMWi),1,,Federal Ministry for Economic Affairs and Energy (BMWi),"343,405"
Private Equity Round - Berlin Brands Group,https://www.crunchbase.com/funding_round/berlin-brands-group-private-equity--23ff0f03,Berlin Brands Group,https://www.crunchbase.com/organization/berlin-brands-group,Private Equity,"Berlin, Berlin, Germany, Europe",700000000,USD,700000000,2021-09-01,Private Equity,,,,Yes,"Berlin Brands Group is a vertical commerce company that offers sound and light, home and living, and consumer electronic products.","Consumer Electronics, E-Commerce, Retail",,https://www.berlin-brands-group.com/,$100M to $500M,1040000000,USD,1040000000,Private Equity,3,Bain Capital,1,,Bain Capital,"91,938"
Private Equity Round - Berlin Brands Group,https://www.crunchbase.com/funding_round/berlin-brands-group-private-equity--8666a670,Berlin Brands Group,https://www.crunchbase.com/organization/berlin-brands-group,Private Equity,"Berlin, Berlin, Germany, Europe",100000000,USD,100000000,2021-11-17,Private Equity,,,,Yes,"Berlin Brands Group is a vertical commerce company that offers sound and light, home and living, and consumer electronic products.","Consumer Electronics, E-Commerce, Retail",,https://www.berlin-brands-group.com/,$100M to $500M,1040000000,USD,1040000000,Private Equity,3,Ardian,1,,Ardian,"624,581"
