Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - 202up,https://www.crunchbase.com/funding_round/202up-seed--901454bc,202up,https://www.crunchbase.com/organization/202up,Seed,"Berlin, Berlin, Germany, Europe",1100000,EUR,1289956,2021-09-20,Seed,,,,Yes,202up is a B2B (Business-to-Business) E-commerce Platform And E-commerce Software for the Real Estate Market.,"Business Development, E-Commerce, Real Estate, Software",,http://202up.com/,$1M to $10M,1100000,EUR,1289956,Seed,1,,1,,Grossmann & Berger,"153,693"
Seed Round - 26 Homes,https://www.crunchbase.com/funding_round/26-homes-seed--844a7fa1,26 Homes,https://www.crunchbase.com/organization/26-homes,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-09-27,Seed,,,,Yes,26 Homes is a real estate company that offers property buying and selling services.,"Construction, Property Development, Real Estate",,https://26homes.com/,,,,,Seed,1,,2,,"Lea-Sophie Cramer, Lena Gercke","150,104"
Seed Round - 35up,https://www.crunchbase.com/funding_round/35up-seed--99246cda,35up,https://www.crunchbase.com/organization/35up,Seed,"Berlin, Berlin, Germany, Europe",3300000,USD,3300000,2021-03-09,Seed,,,,Yes,Bringing Embedded Cross-Selling into every online checkout.,"Artificial Intelligence (AI), E-Commerce, E-Commerce Platforms, Internet, Machine Learning, SaaS, Software",,https://35up.com,$100M to $500M,8300000,USD,8300000,Early Stage Venture,2,DvH Ventures,2,3,"coparion, DvH Ventures","147,320"
Series A - 3YOURMIND,https://www.crunchbase.com/funding_round/3yourmind-gmbh-series-a--05b7fcd9,3YOURMIND,https://www.crunchbase.com/organization/3yourmind-gmbh,Series A,"Berlin, Berlin, Germany, Europe",6900000,USD,6900000,2021-04-22,Early Stage Venture,,,,Yes,"Automation software to manage additive manufacturing part selection, ordering and production workflows for Industry 4.0.","3D Printing, 3D Technology, Enterprise Software, Industrial Manufacturing, Manufacturing, Software",,http://www.3yourmind.com,Less than $1M,27359690,USD,27359690,Early Stage Venture,6,,9,1,"AM Ventures, coparion, EnBW New Ventures, Landesbank Baden Wurttemberg, LBBW VC, Saudi Aramco Energy Ventures, TRUMPF Venture, UVC Partners, Verve Ventures","183,277"
Angel Round - 8returns,https://www.crunchbase.com/funding_round/8returns-angel--7670f44d,8returns,https://www.crunchbase.com/organization/8returns,Angel,"Berlin, Berlin, Germany, Europe",800000,EUR,947040,2021-08-04,Seed,,,,Yes,8returns is a self-service returns center for eCommerce stores that want to automate returns & improve customer experience.,"Consumer Software, E-Commerce, E-Commerce Platforms, Internet",,https://www.8returns.com,Less than $1M,800000,EUR,947040,Seed,2,,13,,"Björn Kolbmüller, David Khalil, Fabiola Hochkirchen, Frank Freund, Jesper Wahrendorf, Johannes Schaback, Lukas Brosseder, Mario Götze, Paul Schwarzenholz, Philipp Kreibohm, Philipp Pausder, Tamaz Georgadze, Verena Pausder","172,201"
Seed Round - 8returns,https://www.crunchbase.com/funding_round/8returns-seed--c6d996bf,8returns,https://www.crunchbase.com/organization/8returns,Seed,"Berlin, Berlin, Germany, Europe",,,,2021-06-15,Seed,,,,Yes,8returns is a self-service returns center for eCommerce stores that want to automate returns & improve customer experience.,"Consumer Software, E-Commerce, E-Commerce Platforms, Internet",,https://www.8returns.com,Less than $1M,800000,EUR,947040,Seed,2,,1,,JVH Ventures,"610,096"
Pre Seed Round - AAZZUR,https://www.crunchbase.com/funding_round/aazzur-pre-seed--f0154e6f,AAZZUR,https://www.crunchbase.com/organization/aazzur,Pre-Seed,"Berlin, Berlin, Germany, Europe",970000,EUR,1175127,2021-01-20,Seed,,,,Yes,"Embedding financial products into user journeys for FinTechs, banks and corporates – at the point of need, without building a tech stack.","Banking, FinTech, InsurTech, Mobile Apps, PaaS",,http://www.aazzur.com,$1M to $10M,2225000,EUR,2678860,Seed,5,Swen Nicolaus,4,,"Angels Den, astorya.vc, Brand & Co, Swen Nicolaus","268,004"
Seed Round - AAZZUR,https://www.crunchbase.com/funding_round/aazzur-seed--b0aa63f1,AAZZUR,https://www.crunchbase.com/organization/aazzur,Seed,"Berlin, Berlin, Germany, Europe",815000,EUR,981809,2021-02-17,Seed,,,,Yes,"Embedding financial products into user journeys for FinTechs, banks and corporates – at the point of need, without building a tech stack.","Banking, FinTech, InsurTech, Mobile Apps, PaaS",,http://www.aazzur.com,$1M to $10M,2225000,EUR,2678860,Seed,5,,3,,"Generali Group, SIX, Tenity","377,292"
Seed Round - Abc Doc,https://www.crunchbase.com/funding_round/abc-doc-seed--b045baec,Abc Doc,https://www.crunchbase.com/organization/abc-doc,Seed,"Berlin, Berlin, Germany, Europe",500000,EUR,560461,2021-11-25,Seed,,,,Yes,"Abc Doc is a web-based service that recognizes bureaucratic letters, provides a summary, and suggests next steps.","Information Technology, Legal Tech, Software",,https://abcdoc.ai/,,500000,EUR,560461,Seed,1,,1,,Impulse VC,"126,571"
Series A - ablefy,https://www.crunchbase.com/funding_round/elopage-series-a--dcd59483,ablefy,https://www.crunchbase.com/organization/elopage,Series A,"Berlin, Berlin, Germany, Europe",32000000,EUR,37611218,2021-08-26,Early Stage Venture,,,,Yes,ablefy is a SaaS company that enables entrepreneurs to start and scale their digital business with digital products and automated sales.,"E-Commerce, Internet, Internet of Things, Mobile Payments, Payments, Small and Medium Businesses, Software",,https://ablefy.io/,$10M to $50M,32000000,EUR,37611218,Early Stage Venture,1,Target Global,3,1,"Avid Ventures, Partech, Target Global","92,558"
Pre Seed Round - Abowire,https://www.crunchbase.com/funding_round/abowire-pre-seed--37b05a1e,Abowire,https://www.crunchbase.com/organization/abowire,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2021-01-01,Seed,,,,Yes,Abowire is an expert-driven solution to scale your recurring revenue. We fast-track your journey to subscription success.,"Information Technology, Internet, SaaS, Software, Subscription Service",,https://abowire.com,Less than $1M,,,,Seed,1,,1,,Startup Wise Guys SaaS Milan,"125,557"
Seed Round - Actio,https://www.crunchbase.com/funding_round/actio-401c-seed--c9405183,Actio,https://www.crunchbase.com/organization/actio-401c,Seed,"Berlin, Berlin, Germany, Europe",1500000,EUR,1813237,2021-02-16,Seed,,,,Yes,Actio connects you to real coaches and a global community,"Communities, Mobile Apps, Social Network",,https://actio.com,$1B to $10B,10000000,EUR,12180001,Seed,2,Heal Capital,3,2,"Cavalry Ventures, Heal Capital, HV Capital","416,987"
Series B - Ada Health,https://www.crunchbase.com/funding_round/adahealth-series-b--06062337,Ada Health,https://www.crunchbase.com/organization/adahealth,Series B,"Berlin, Berlin, Germany, Europe",74000000,EUR,90227617,2021-05-27,Early Stage Venture,,,,Yes,Ada Health is a digital health company that helps to diagnose symptoms and offer treatment advice using an AI-enabled platform.,"Apps, Artificial Intelligence (AI), Health Care, Medical, mHealth",,https://ada.com/,$10M to $50M,189497394,USD,189497394,Early Stage Venture,5,Leaps by Bayer,6,1,"F4, Inteligo, Leaps by Bayer, Mutschler Ventures AG, Samsung Catalyst Fund, Vitruvian Partners","287,813"
Convertible Note - Adrenomed,https://www.crunchbase.com/funding_round/adrenomed-ag-convertible-note--48176ebb,Adrenomed,https://www.crunchbase.com/organization/adrenomed-ag,Convertible Note,"Berlin, Berlin, Germany, Europe",,,,2021-03-23,,,,,No,"Adrenomed is a privately-financed, clinical-stage biopharmaceutical company.","Biotechnology, Medical, Pharmaceutical",,http://www.adrenomed.com,$1M to $10M,49114581,EUR,56828268,Late Stage Venture,7,,1,,HBM Healthcare Investments,"455,472"
