Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Pre Seed Round - VRdirect,https://www.crunchbase.com/funding_round/viond-pre-seed--979aa693,VRdirect,https://www.crunchbase.com/organization/viond,Pre-Seed,"Munich, Bayern, Germany, Europe",,,,2018-03-12,Seed,,,,Yes,VRdirect is the leading Virtual Reality solution for enterprises and enables enterprises to get started with the Metaverse.,"Information Technology, Metaverse, SaaS, Software, Virtual Reality, Web Apps",,https://www.vrdirect.com/,$1M to $10M,,,,Seed,6,,5,,"Dr. Marcus Englert, Felix Heberle, Heinz-Werner Nienstedt, Peter Schaberger, Tano Sebastian Khan","409,076"
Seed Round - Vyoma GmbH,https://www.crunchbase.com/funding_round/vyoma-seed--6178f038,Vyoma GmbH,https://www.crunchbase.com/organization/vyoma,Seed,"Munich, Bayern, Germany, Europe",8500000,EUR,9281979,2023-06-20,Seed,,,,Yes,"Vyoma helps in increasing confidence in space with real-time debris observations and AI, for safe and automated satellite operations.","Aerospace, Artificial Intelligence (AI), Satellite Communication, Space Travel",,https://vyoma.space/,$1M to $10M,13500000,EUR,14516731,Seed,3,Atlantic Labs,5,1,"Atlantic Labs, Faber, Happiness Capital, Safran Corporate Ventures, Unruly Capital","56,563"
Seed Round - Vyoma GmbH,https://www.crunchbase.com/funding_round/vyoma-seed--b665c3f3,Vyoma GmbH,https://www.crunchbase.com/organization/vyoma,Seed,"Munich, Bayern, Germany, Europe",5000000,EUR,5234752,2023-10-03,Seed,,,,Yes,"Vyoma helps in increasing confidence in space with real-time debris observations and AI, for safe and automated satellite operations.","Aerospace, Artificial Intelligence (AI), Satellite Communication, Space Travel",,https://vyoma.space/,$1M to $10M,13500000,EUR,14516731,Seed,3,European Investment Fund,1,1,European Investment Fund,"188,987"
Seed Round - Vyoma GmbH,https://www.crunchbase.com/funding_round/vyoma-seed--86fb01a5,Vyoma GmbH,https://www.crunchbase.com/organization/vyoma,Seed,"Munich, Bayern, Germany, Europe",,,,2021-08-25,Seed,,,,Yes,"Vyoma helps in increasing confidence in space with real-time debris observations and AI, for safe and automated satellite operations.","Aerospace, Artificial Intelligence (AI), Satellite Communication, Space Travel",,https://vyoma.space/,$1M to $10M,13500000,EUR,14516731,Seed,3,Atlantic Labs,1,,Atlantic Labs,"432,626"
Seed Round - Wallfair,https://www.crunchbase.com/funding_round/wallfair-seed--fe8bbe74,Wallfair,https://www.crunchbase.com/organization/wallfair,Seed,"Munich, Bayern, Germany, Europe",2400000,USD,2400000,2021-10-08,Seed,,,,Yes,"Wallfair is a social event trading platform that enabling the audience to seamlessly create, trade, and profit from speculation markets.","Digital Entertainment, Event Management, Events",,http://www.wallfair.io,,2400000,USD,2400000,Seed,1,,4,,"AU21 Capital, Exnetwork Capital, Faculty Capital, Gains Associates","173,589"
Seed Round - wealthpilot,https://www.crunchbase.com/funding_round/wealthpilot-seed--3221c28e,wealthpilot,https://www.crunchbase.com/organization/wealthpilot,Seed,"Munich, Bayern, Germany, Europe",2023400,EUR,2482882,2018-03-01,Seed,,,,Yes,wealthpilot enables professional advisors to deliver a data-driven and truly personal wealth management.,"FinTech, SaaS",,https://www.wealthpilot.com,$1M to $10M,14923400,EUR,17533043,,3,,,,,"144,040"
Venture Round - wealthpilot,https://www.crunchbase.com/funding_round/wealthpilot-series-unknown--28af47a8,wealthpilot,https://www.crunchbase.com/organization/wealthpilot,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",4900000,EUR,5358395,2019-10-01,,,,,Yes,wealthpilot enables professional advisors to deliver a data-driven and truly personal wealth management.,"FinTech, SaaS",,https://www.wealthpilot.com,$1M to $10M,14923400,EUR,17533043,,3,,,,,"232,336"
Venture Round - wealthpilot,https://www.crunchbase.com/funding_round/wealthpilot-series-unknown--31c99a60,wealthpilot,https://www.crunchbase.com/organization/wealthpilot,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",8000000,EUR,9691766,2021-01-20,,,,,Yes,wealthpilot enables professional advisors to deliver a data-driven and truly personal wealth management.,"FinTech, SaaS",,https://www.wealthpilot.com,$1M to $10M,14923400,EUR,17533043,,3,Seventure Partners,3,1,"Bayern Kapital, MIG Fonds, Seventure Partners","253,546"
Seed Round - Wellster Healthtech Group,https://www.crunchbase.com/funding_round/spring-3229-seed--01e6d05a,Wellster Healthtech Group,https://www.crunchbase.com/organization/spring-3229,Seed,"Munich, Bayern, Germany, Europe",,,,2020-03-31,Seed,,,,Yes,Wellster is the go-to solution for everyday consumer health. It builds digital clinics along the lifecycle of next gen. health consumers.,Health Care,,https://www.wellsterhealth.com,$10M to $50M,61691831,USD,61691831,Early Stage Venture,5,HV Capital,3,3,"Flixfounders, HGDF, HV Capital","133,086"
Venture Round - Wellster Healthtech Group,https://www.crunchbase.com/funding_round/spring-3229-series-unknown--fe5281a7,Wellster Healthtech Group,https://www.crunchbase.com/organization/spring-3229,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",35000000,EUR,41691831,2021-06-21,,,,,Yes,Wellster is the go-to solution for everyday consumer health. It builds digital clinics along the lifecycle of next gen. health consumers.,Health Care,,https://www.wellsterhealth.com,$10M to $50M,61691831,USD,61691831,Early Stage Venture,5,Dermapharm,3,2,"Dermapharm, HV Capital, SevenVentures","446,432"
Series B - Wellster Healthtech Group,https://www.crunchbase.com/funding_round/spring-3229-series-b--c0813d4d,Wellster Healthtech Group,https://www.crunchbase.com/organization/spring-3229,Series B,"Munich, Bayern, Germany, Europe",20000000,USD,20000000,2022-01-18,Early Stage Venture,40000000,USD,40000000,Yes,Wellster is the go-to solution for everyday consumer health. It builds digital clinics along the lifecycle of next gen. health consumers.,Health Care,,https://www.wellsterhealth.com,$10M to $50M,61691831,USD,61691831,Early Stage Venture,5,,2,,"Claret Capital Partners, Mangrove Capital Partners","304,654"
Venture Round - Wellster Healthtech Group,https://www.crunchbase.com/funding_round/spring-3229-series-unknown--c3412263,Wellster Healthtech Group,https://www.crunchbase.com/organization/spring-3229,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",,,,2021-03-23,,,,,Yes,Wellster is the go-to solution for everyday consumer health. It builds digital clinics along the lifecycle of next gen. health consumers.,Health Care,,https://www.wellsterhealth.com,$10M to $50M,61691831,USD,61691831,Early Stage Venture,5,,3,,"Flixfounders, German Media Pool, SevenVentures","359,776"
Pre Seed Round - Wellster Healthtech Group,https://www.crunchbase.com/funding_round/spring-3229-pre-seed--4274cb43,Wellster Healthtech Group,https://www.crunchbase.com/organization/spring-3229,Pre-Seed,"Munich, Bayern, Germany, Europe",,,,2019-01-17,Seed,,,,Yes,Wellster is the go-to solution for everyday consumer health. It builds digital clinics along the lifecycle of next gen. health consumers.,Health Care,,https://www.wellsterhealth.com,$10M to $50M,61691831,USD,61691831,Early Stage Venture,5,,4,3,"Constantin Bisanz, HV Capital, Jean-Remy von Matt, MPGI","428,177"
Venture Round - Werbezeichen,https://www.crunchbase.com/funding_round/werbezeichen-series-unknown--c483e20b,Werbezeichen,https://www.crunchbase.com/organization/werbezeichen,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",,,,2021-02-09,,,,,Yes,Werbezeichen is the central advertising media platform.,"Advertising, Advertising Platforms, Marketing",,https://www.werbezeichen.de/,,,,,,1,AURELIUS Equity Opportunities,1,,AURELIUS Equity Opportunities,"112,597"
Pre Seed Round - weview,https://www.crunchbase.com/funding_round/weview-gmbh-pre-seed--3aa88a49,weview,https://www.crunchbase.com/organization/weview-gmbh,Pre-Seed,"Munich, Bayern, Germany, Europe",,,,2018-09-13,Seed,,,,Yes,weview GmbH is a user-generated product video platform.,"Consumer Reviews, E-Commerce, Shopping, Video",,https://www.weview.com,,,,,Seed,2,,1,,Techstars,"452,838"
Seed Round - weview,https://www.crunchbase.com/funding_round/weview-gmbh-seed--84aba339,weview,https://www.crunchbase.com/organization/weview-gmbh,Seed,"Munich, Bayern, Germany, Europe",,,,2017-05-02,Seed,,,,Yes,weview GmbH is a user-generated product video platform.,"Consumer Reviews, E-Commerce, Shopping, Video",,https://www.weview.com,,,,,Seed,2,,,,,"368,052"
Pre Seed Round - Wikilab.tech,https://www.crunchbase.com/funding_round/wikilab-tech-pre-seed--d6170d44,Wikilab.tech,https://www.crunchbase.com/organization/wikilab-tech,Pre-Seed,"Munich, Bayern, Germany, Europe",20000,USD,20000,2018-03-02,Seed,180000,USD,180000,Yes,PR and digital advertising company,,,https://wikilab.tech/,,20000,USD,20000,M&A,1,,,,,"298,507"
Post-IPO Equity - Wirecard,https://www.crunchbase.com/funding_round/wirecard-post-ipo-equity--ddc92799,Wirecard,https://www.crunchbase.com/organization/wirecard,Post-IPO Equity,"Munich, Bayern, Germany, Europe",900000000,EUR,1010132754,2019-04-23,,,,,Yes,Wirecard is an Information technology company that provides digital platforms for the financial commerce industry.,"Business Development, Financial Services, Outsourcing, Payments, Software",,http://www.wirecard.com,$1B to $10B,900000000,EUR,1010132754,M&A,1,SoftBank,1,,SoftBank,"430,225"
Series B - Wirelane,https://www.crunchbase.com/funding_round/wirelane-series-b--1e3cce91,Wirelane,https://www.crunchbase.com/organization/wirelane,Series B,"Munich, Bayern, Germany, Europe",3000000,EUR,3063100,2022-07-31,Early Stage Venture,,,,Yes,Wirelane is a full service provider in the field of electric mobility.,"Charging Infrastructure, Electric Vehicle, Hospitality, Information Technology",,https://www.wirelane.com,$1B to $10B,41000000,EUR,46080124,,6,,,,,"167,117"
Series B - Wirelane,https://www.crunchbase.com/funding_round/wirelane-series-b--d2496f8f,Wirelane,https://www.crunchbase.com/organization/wirelane,Series B,"Munich, Bayern, Germany, Europe",,,,2021-12-10,Early Stage Venture,,,,Yes,Wirelane is a full service provider in the field of electric mobility.,"Charging Infrastructure, Electric Vehicle, Hospitality, Information Technology",,https://www.wirelane.com,$1B to $10B,41000000,EUR,46080124,,6,,1,,MOMENI Ventures,"203,153"
Venture Round - Wirelane,https://www.crunchbase.com/funding_round/wirelane-series-unknown--cdc48d1a,Wirelane,https://www.crunchbase.com/organization/wirelane,Venture - Series Unknown,"Munich, Bayern, Germany, Europe",11000000,EUR,11931155,2023-08-22,,,,,Yes,Wirelane is a full service provider in the field of electric mobility.,"Charging Infrastructure, Electric Vehicle, Hospitality, Information Technology",,https://www.wirelane.com,$1B to $10B,41000000,EUR,46080124,,6,,4,,"ABACON CAPITAL, DC Ventures, HTGF | High-Tech Gruenderfonds, Kalexogy","612,345"
Series B - Wirelane,https://www.crunchbase.com/funding_round/wirelane-series-b--d4293d00,Wirelane,https://www.crunchbase.com/organization/wirelane,Series B,"Munich, Bayern, Germany, Europe",18000000,EUR,21298498,2021-08-05,Early Stage Venture,,,,Yes,Wirelane is a full service provider in the field of electric mobility.,"Charging Infrastructure, Electric Vehicle, Hospitality, Information Technology",,https://www.wirelane.com,$1B to $10B,41000000,EUR,46080124,,6,ABACON CAPITAL,2,1,"ABACON CAPITAL, HTGF | High-Tech Gruenderfonds","433,786"
Series A - Wirelane,https://www.crunchbase.com/funding_round/wirelane-series-a--5b35f99b,Wirelane,https://www.crunchbase.com/organization/wirelane,Series A,"Munich, Bayern, Germany, Europe",4000000,EUR,4490200,2018-11-12,Early Stage Venture,,,,Yes,Wirelane is a full service provider in the field of electric mobility.,"Charging Infrastructure, Electric Vehicle, Hospitality, Information Technology",,https://www.wirelane.com,$1B to $10B,41000000,EUR,46080124,,6,"HTGF | High-Tech Gruenderfonds, Vito Ventures",4,1,"coparion, HTGF | High-Tech Gruenderfonds, Ritter Starkstromtechnik, Vito Ventures","570,094"
Seed Round - WORKERBASE,https://www.crunchbase.com/funding_round/workerbase-seed--0d936073,WORKERBASE,https://www.crunchbase.com/organization/workerbase,Seed,"Munich, Bayern, Germany, Europe",900000,EUR,1008098,2019-05-06,Seed,,,,Yes,WORKERBASE is a Low-Code SaaS Platform that orchestrates processes in manufacturing and enables its customers to make 20%+ more revenue,"B2B, Developer Platform, Enterprise Software, Industrial Manufacturing, Internet of Things, Manufacturing, SaaS, Software, Wearables",,http://workerbase.com,$1M to $10M,12600000,EUR,13063559,Early Stage Venture,3,Point Nine,3,,"Andy Goldstein, Matthias Hilpert, Point Nine","18,625"
Series A - WORKERBASE,https://www.crunchbase.com/funding_round/workerbase-series-a--febd5e44,WORKERBASE,https://www.crunchbase.com/organization/workerbase,Series A,"Munich, Bayern, Germany, Europe",10200000,EUR,10293984,2022-10-26,Early Stage Venture,,,,Yes,WORKERBASE is a Low-Code SaaS Platform that orchestrates processes in manufacturing and enables its customers to make 20%+ more revenue,"B2B, Developer Platform, Enterprise Software, Industrial Manufacturing, Internet of Things, Manufacturing, SaaS, Software, Wearables",,http://workerbase.com,$1M to $10M,12600000,EUR,13063559,Early Stage Venture,3,Almaz Capital,4,3,"Almaz Capital, Bayern Kapital, Point Nine, Porsche Ventures","482,197"
Seed Round - WORKERBASE,https://www.crunchbase.com/funding_round/workerbase-seed--58d13072,WORKERBASE,https://www.crunchbase.com/organization/workerbase,Seed,"Munich, Bayern, Germany, Europe",1500000,EUR,1761477,2017-12-17,Seed,,,,Yes,WORKERBASE is a Low-Code SaaS Platform that orchestrates processes in manufacturing and enables its customers to make 20%+ more revenue,"B2B, Developer Platform, Enterprise Software, Industrial Manufacturing, Internet of Things, Manufacturing, SaaS, Software, Wearables",,http://workerbase.com,$1M to $10M,12600000,EUR,13063559,Early Stage Venture,3,Point Nine,4,2,"Matthias Hilpert, Point Nine, System.One, Tiny VC","327,361"
Seed Round - WorkerHero,https://www.crunchbase.com/funding_round/driverhero-seed--ce7fa905,WorkerHero,https://www.crunchbase.com/organization/driverhero,Seed,"Munich, Bayern, Germany, Europe",2500000,EUR,2603792,2022-06-13,Seed,,,,Yes,WorkerHero is a modern recruiting tech company to make recruitment easier for companies by automatically delivering job vacancies.,"Human Resources, Recruiting, Software",,http://www.workerhero.com,,7100000,EUR,7618755,Early Stage Venture,2,,4,1,"10x Founders, Bonsai Partners, Christopher Huesmann, Niklas Plath","608,651"
Grant - World Uyghur Congress,https://www.crunchbase.com/funding_round/world-uyghur-congress-grant--8e98343d,World Uyghur Congress,https://www.crunchbase.com/organization/world-uyghur-congress,Grant,"Munich, Bayern, Germany, Europe",,,,2023-07-10,,,,,No,The World Uyghur Congress an international organization that represents the collective interest of the Uyghur people .,Non Profit,,https://www.uyghurcongress.org/en,,,,,,1,The Elie Wiesel Foundation for Humanity,1,1,The Elie Wiesel Foundation for Humanity,"93,691"
Seed Round - wryte,https://www.crunchbase.com/funding_round/wryte-seed--8f48331e,wryte,https://www.crunchbase.com/organization/wryte,Seed,"Munich, Bayern, Germany, Europe",580000,EUR,697885,2021-04-20,Seed,3000000,EUR,3609752,Yes,Wryte is a transcription app that connectsand masters all educational activities.,"Apps, Education, Information Technology, Mobile Apps, Software",,https://www.wryte.io/,Less than $1M,1038855,USD,1038855,Seed,3,,1,,adesso ventures,"30,839"
Seed Round - wryte,https://www.crunchbase.com/funding_round/wryte-seed--05b745ce,wryte,https://www.crunchbase.com/organization/wryte,Seed,"Munich, Bayern, Germany, Europe",120000,USD,120000,2023-03-13,Seed,,,,Yes,Wryte is a transcription app that connectsand masters all educational activities.,"Apps, Education, Information Technology, Mobile Apps, Software",,https://www.wryte.io/,Less than $1M,1038855,USD,1038855,Seed,3,Techstars,1,,Techstars,"315,931"
