url,company_id,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax,error
https://de.linkedin.com/company/smaho-smarthome,35663996,107,5,2-10,2,10,
https://www.linkedin.com/company/smartlane-gmbh,10593097,3009,19,11-50,11,50,
https://www.linkedin.com/company/smokelessworld/,11376221,268,3,2-10,2,10,
https://www.linkedin.com/company/solos-mirrors/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/sono-motors-gmbh,17934018,45691,85,11-50,11,50,
https://www.linkedin.com/company/spanflug,18736993,3177,44,11-50,11,50,
https://www.linkedin.com/company/storifyme-official/,37052135,1715,10,11-50,11,50,
https://www.linkedin.com/company/storybox-video,53101453,1939,35,11-50,11,50,
https://www.linkedin.com/company/sunbloom-proteins/,67964432,3023,14,11-50,11,50,
https://www.linkedin.com/company/supernutural/,42138486,1654,10,11-50,11,50,
https://www.linkedin.com/company/sushibikes/,11748650,5125,43,11-50,11,50,
https://www.linkedin.com/company/10990862/,10990862,2240,14,11-50,11,50,
https://www.linkedin.com/company/talentcube---die-bewerbung-der-n%C3%A4chsten-generation/?originalSubdomain=de,9505137,2808,0,11-50,11,50,
https://www.linkedin.com/company/tangany,11444632,2943,41,11-50,11,50,
https://www.linkedin.com/company/teleclinic,6627279,9059,103,51-200,51,200,
