Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Everdrop,https://www.crunchbase.com/organization/everdrop,Active,,Consumer Goods,"Munich, Bayern, Germany",Everdrop manufactures sustainable cleaning products.,"17,645","European Union (EU), Europe, Middle East, and Africa (EMEA)",80469,$10M to $50M,2019-01-01,year,,,,,For Profit,https://www.everdrop.de,,https://www.facebook.com/everdrop.de,https://www.linkedin.com/company/everdrop,"Everdrop manufactures sustainable cleaning products. The company offers household products and natural cosmetics that are free of disposable plastic and unnecessary chemicals. According to Everdrop, all of its products are designed to avoid single-use plastic and unnecessary chemicals. Everdrop was established in 2019 and is located in Munich, Germany.",Consumer Goods,3,11-50,"Christian Becker, Daniel Schmitt Haverkamp, David Löwe",5,Early Stage Venture,2022-07-14,80000000,EUR,80212242,Series B,80000000,EUR,80212242,Series B,98000000,EUR,102118207,98000000,EUR,102118207,"HV Capital, Lombard Odier, Felix Capital, Vorwerk Ventures, TriplePoint Capital",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
EverReal,https://www.crunchbase.com/organization/everreal-gmbh,Active,,"Property Management, Real Estate, SaaS","Munich, Bayern, Germany",EverReal develops a platform for real-estate owners and professionals that gives them easy and real-time access to relevant information.,"254,282","European Union (EU), Europe, Middle East, and Africa (EMEA)",81669,$1B to $10B,2016-11-23,day,,,,,For Profit,https://www.everreal.co/en,https://twitter.com/EverReal_GmbH,https://www.facebook.com/everreal.co/,https://www.linkedin.com/company/everreal/,"EverReal believes real estate management and ownership should be simple, enjoyable, and that great results can be achieved from anywhere on the planet. EverReal is developing a platform for real-estate owners and professionals that makes real-time access to relevant information easy as well as driving productivity and collaboration in a simple way from anywhere.","Real Estate, Software",2,11-50,"Liviu Ignat, Nessim Djerboua",2,Seed,2020-03-12,,,,Seed,,,,Seed,,,,,,,"HTGF | High-Tech Gruenderfonds, Seed X Liechtenstein, BayBG Venture Capital",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
everstox,https://www.crunchbase.com/organization/everstox,Active,,"Logistics, Software, Warehousing","Munich, Bayern, Germany","Europe’s most powerful logistics solution: Store, fulfill and ship across one network – united by one technology to grow beyond.","32,684","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2019-01-01,year,,,,,For Profit,https://www.everstox.com,https://twitter.com/everstox,https://www.facebook.com/everstox/,https://www.linkedin.com/company/everstox/,"Time to excite customers and optimize efficiencies with Europe’s most powerful logistics solution: Store, fulfill and ship across one network – united by one technology to grow beyond. This is everstox. We are a Munich-based Logistics-as-a-Service (LaaS) company. We enable high-performing brands to break through the complexities of first-class logistics operations. We believe that all brands deserve equal access to best warehousing, tailored omnichannel and eCommerce fulfillment, and fast shipping services. Our leading logistics network offers operational services in Germany, UK, across Europe and the US. We are united by one technology, and one integrated logistics solution.","Software, Transportation",3,51-100,"Boris Bösch, Felix Haberland, Johannes Tress",3,Early Stage Venture,2021-11-25,20000000,EUR,22418458,Series A,20000000,EUR,22418458,Series A,23000000,EUR,25973908,23000000,EUR,25973908,"Rocket Internet, Global Founders Capital, Acton Capital, Capnamic Ventures, Flash Ventures",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
eyelevel,https://www.crunchbase.com/organization/eyelevel-5c37,Active,,"Health Care, Health Diagnostics, Medical Device, Therapeutics","Munich, Bayern, Germany",eyelevel is a digital health company that creates a new standard of care in child- and adolescent psychiatry,"93,420","European Union (EU), Europe, Middle East, and Africa (EMEA)",80331,,2019-12-24,day,,,,,For Profit,https://www.eyelevel.care,,https://www.facebook.com/eyelevel.care,https://www.linkedin.com/company/eyelevelcarede/,"eyelevel is communication that heals. The goal is to create a new digital standard of care with solutions that empower families in their mental health journey. Digital therapeutics in which people feel safe, accepted and cared for. Because access to mental health care should be provided to everyone in an attainable and empowering way.",Health Care,,11-50,,1,Seed,2021-04-26,5000000,EUR,6039800,Seed,5000000,EUR,6039800,Seed,5000000,EUR,6039800,5000000,EUR,6039800,MediVentures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
EZE,https://www.crunchbase.com/organization/eze-7d30,Active,,"Autonomous Vehicles, Electric Vehicle","Munich, Bayern, Germany",EZE is a charging infrastructure investor and operator that focuses on public charging with 24-hour access.,"319,269","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2019-01-01,year,,,,,For Profit,https://www.eze.network,,,https://www.linkedin.com/company/eze-network,EZE is a charging infrastructure investor and operator that focuses on public charging with 24-hour access.,Transportation,,1-10,,1,,2024-06-20,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,"DeepTech & Climate Fonds, Arcus Infrastructure Partners",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
FairFleet,https://www.crunchbase.com/organization/fairfleet,Active,,"Drones, Innovation Management, Internet of Things, Robotics","Munich, Bayern, Germany",Full Service Provider for Drone Powered Solutions,"357,085","European Union (EU), Europe, Middle East, and Africa (EMEA)",81371,Less than $1M,2015-10-19,day,,,,,For Profit,https://www.fairfleet360.com/,https://twitter.com/fairfleet,https://www.facebook.com/FairFleet360/,https://www.linkedin.com/company/fairfleet/,"FairFleet is a full-service partner for professional drone services, providing optimal supervision for both customers and pilots - from insurance or licensing of professional drone pilots to post-production of aerial photography. With our worldwide network you fly exclusively with professional, licensed and insured drone pilots.","Consumer Electronics, Consumer Goods, Hardware, Internet Services, Professional Services, Science and Engineering, Software",4,11-50,"Dario Manns, Eldar Gizzatov, Florian Waubke, Marco Kreuzer",1,,2018-08-08,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,HTGF | High-Tech Gruenderfonds,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,3
FERNRIDE,https://www.crunchbase.com/organization/fernride,Active,,"Autonomous Vehicles, Electric Vehicle, Logistics, Software, Transportation","Munich, Bayern, Germany","Leading platform for autonomous, electric trucking.","11,542","European Union (EU), Europe, Middle East, and Africa (EMEA)",80807,$10M to $50M,2019-09-20,day,,,,,For Profit,https://www.fernride.com/,,,https://www.linkedin.com/company/fernride/,"Fernride is on the quest to solve the two fundamental problems of the trucking industry: In the EU alone, there is a lack of 400.000 truck drivers today, and 39% of the GHG-emissions in transportation are due to diesel-powered trucks. With Fernride, driver shortage and GHG-emissions will be a thing of the past. For our customers, we are an end-to-end solution provider for autonomous, electric trucking. We accelerate the transformation of the logistics industry in a simple and seamless but for most people counterintuitive way: Fernride keeps humans – known as teleoperators - in the loop and let them collaborate with state-of-the-art autonomous driving technology. Being the first on the market, we pioneer automated, and sustainable logistics with leading customers like Volkswagen Group Logistics, DB Schenker, HHLA or BSH today. Our plug-and-play solution allows deploying trucks in revenue-generating, productive operations from day 1.","Software, Transportation",3,51-100,"Hendrik Kramer, Jean-Michael Georg, Maximilian Fisser",5,Early Stage Venture,2023-09-20,19000000,USD,19000000,Series A,19000000,USD,19000000,Series A,60998161,USD,60998161,60998161,USD,60998161,"Speedinvest, Fly Ventures, Promus Ventures, Bayern Kapital, 10x Founders",3,16,,,,,,,,,,,,,,Private,,,,,,,,,,,
Fineway,https://www.crunchbase.com/organization/fineway,Active,,"Artificial Intelligence (AI), SaaS, Travel","Munich, Bayern, Germany",Running the most advanced SaaS platform to plan & book the perfect trip.,"76,745","European Union (EU), Europe, Middle East, and Africa (EMEA)",80337,Less than $1M,2015-01-01,year,,,,,For Profit,https://www.fineway.pro,,https://www.facebook.com/thefineway,https://www.linkedin.com/company/10301445,"25$m+ funded, Munich-based travel SaaS startup. Running the most advanced B2B platform for individual travel. - Top3 Winner Deloitte Technology Fast 50 Award 2019 - Top3 Winner Gründerszene Growth Award 2018 - Best Consumer Product @ EyeForTravel 2018 (London)","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism",2,11-50,"Markus Bohl, Markus Feigelbinder",3,Early Stage Venture,2019-08-30,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,25000000,USD,25000000,25000000,USD,25000000,"Bayern Kapital, Axel Springer, MairDumont, WeltN24, MairDumont Ventures",,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
FINN,https://www.crunchbase.com/organization/finn-b149,Active,,"Automotive, Car Sharing, Leasing, Subscription Service","Munich, Bayern, Germany",FINN is a startup that operates a platform for new car subscriptions and an alternative to buying or leasing vehicles.,"4,048","European Union (EU), Europe, Middle East, and Africa (EMEA)",81675,$100M to $500M,2019-05-15,day,,,,,For Profit,https://www.finn.com,,https://www.facebook.com/finn.auto.abo,https://www.linkedin.com/company/finn-auto,"FINN offers monthly car subscriptions to create a sustainable method for mobility. Its mission is to make mobility fun and sustainable: FINN helps everyone who loves driving their own car but refuses the struggle, commitment, and intransparent costs associated with car ownership. The company achieves this by offering all-inclusive, immediately available, monthly car subscriptions.","Financial Services, Other, Transportation",5,251-500,"Andreas Stryz, Hans-Peter Ringer, Max-Josef Meier, Maximilian Wühr, Nikolai Schröder",9,,2024-04-08,1000000,EUR,1086215,Venture - Series Unknown,1000000,EUR,1086215,Venture - Series Unknown,254892188,USD,254892188,1046304940,USD,1046304940,"Heartcore Capital, HV Capital, Heliad AG, Picus Capital, Waterfall Asset Management",8,18,,,,,,,,,,,,,,Private,,,,,,,,,,,
finway,https://www.crunchbase.com/organization/finway-ec1d,Active,,"Financial Services, FinTech","Munich, Bayern, Germany",The Financial Operating System for SMEs - plan & control all expenses and budgets in one tool.,"23,021","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2019-11-01,month,,,,,For Profit,https://finway.de/,https://mobile.twitter.com/finway_de,,https://www.linkedin.com/company/finway/,"Finway enables small and medium-sized businesses (SMBs) to use simple and error-free financial processes, which finance departments use to deliver real-time insights, becoming the company's backbone and empowering all departments to trade more successfully. The company was founded in 2019 and is based in Munich, Germany.",Financial Services,3,51-100,"Csaba Krümmer, Jennifer Dussileck, Philipp Rieger",3,Early Stage Venture,2023-02-23,9200000,EUR,9750349,Series A,9200000,EUR,9750349,Series A,11300000,EUR,12223410,11300000,EUR,12223410,"Leblon Capital, 10x Group, Paul Forster, b2venture, Capital 49",1,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
