Funding ID,Organization Name,Funding Type,Money Raised,Announced Date,Lead Investors,Number of Investors,Investor Names,Company ID
001994,Phase,Seed,,2018-04-01,SquareOne Venture Capital,1.0,['SquareOne Venture Capital'],000866
001995,Pitch,Series A,19000000.0,2018-10-09,"BlueYard Capital, Index Ventures",10.0,"['Andrew Wilkinson', 'BlueYard Capital', 'Eric Yuan', 'Frank Thelen', 'Freigeist Capital', 'Index Ventures', 'Koen Bok', 'Olivier Pomel', 'Simon Willnauer', 'Slack Fund']",000869
001996,Pitch,Seed,3000000.0,2018-02-20,BlueYard Capital,1.0,['BlueYard Capital'],000869
001997,Plantix,Seed,4450000.0,2018-01-17,Index Ventures,1.0,['Index Ventures'],000874
001998,PlusDental,Seed,,2018-01-01,Saarbruecker 21,3.0,"['Roman Kirsch', 'Saarbruecker 21', 'Sebastian Pollok']",000000
001999,PlusDental,Seed,,2018-06-01,Elephant & Castle Capital,1.0,['Elephant & Castle Capital'],000000
002000,Powerplace,Pre-Seed,,2018-12-08,HATCHER+,1.0,['HATCHER+'],000880
002001,Prediction2020,Seed,,2018-07-23,Startupbootcamp,2.0,"['Startupbootcamp', 'Startupbootcamp Digital Health Berlin']",000000
002002,Predrepair,Seed,,2018-02-01,,1.0,['Data Pitch'],000883
002003,ProNoblis,Seed,209000.0,2018-08-22,Friends & Family,1.0,['Friends & Family'],000886
002004,Pyramics,Seed,,2018-07-01,,,[''],000891
002005,Quarters,Pre-Seed,,2018-03-01,,1.0,['Joshua Senior'],000000
002006,Qunomedical,Seed,,2018-12-18,MS&AD Ventures,2.0,"['Knockout Capital', 'MS&AD Ventures']",000896
002007,Qunomedical,Seed,,2018-12-01,,1.0,['VU Venture Partners'],000896
002008,Quorum Control,Venture - Series Unknown,2900000.0,2018-11-01,Initialized Capital,4.0,"['Boost VC', 'Hack VC', 'IA Ventures', 'Initialized Capital']",000898
002009,QVSTA,Pre-Seed,,2018-04-25,,,[''],000899
002010,RAMPmedical,Seed,,2018-07-23,,1.0,['Startupbootcamp Digital Health Berlin'],000901
002011,RealSynth,Convertible Note,100000.0,2018-09-28,,,[''],000000
002012,realxdata,Seed,1500000.0,2018-06-01,Rheingau Founders,1.0,['Rheingau Founders'],000905
002013,rebuy,Venture - Series Unknown,21000000.0,2018-03-06,,5.0,"['Evoco', 'Headway Capital Partners', 'Keyhaven Capital Partners', 'NJF Capital', 'Wecken & Cie.']",000000
002014,Recare,Seed,2000000.0,2018-01-01,,6.0,"['Die Brückenköpfe', 'Niklas Ostberg', 'Oliver Pabst', 'Petra Becker', 'Tech Beteiligungen', 'Thieme']",000907
002015,Remind.me,Seed,1000000.0,2018-05-28,HTGF | High-Tech Gruenderfonds,1.0,['HTGF | High-Tech Gruenderfonds'],000911
002016,Remind.me,Seed,1900000.0,2018-05-02,,,[''],000911
002017,rent24,Venture - Series Unknown,38000000.0,2018-01-01,,,[''],000915
002018,Resonance UG,Pre-Seed,75982.0,2018-04-20,Techstars,1.0,['Techstars'],000000
002019,RiseUp Fashion,Seed,,2018-01-01,,1.0,['Richmond View Ventures'],000920
002020,ROOBEO GmbH,Pre-Seed,750000.0,2018-12-01,,,[''],000921
002021,Runtime,Seed,,2018-03-16,"BITKRAFT Ventures, Everblue Management",5.0,"['BITKRAFT Ventures', 'Döhler Ventures', 'Everblue Management', 'Food Angels', 'Modern Times Group']",000925
002022,RYSTA,Seed,,2018-01-01,High Rise Ventures,1.0,['High Rise Ventures'],000928
002023,Salto Industries Inc.,Private Equity,41745611.0,2018-12-04,Capital One,5.0,"['Bank of America Merrill Lynch', 'Capital One', 'Citadel', 'Peak 6', 'Quassar Capital']",000929
002024,Sciencemap,Grant,52000.0,2018-06-01,,,[''],000000
002025,Searchtalent,Venture - Series Unknown,,2018-01-01,,1.0,['allygatr'],000000
002026,Seatris.ai,Seed,,2018-01-01,,,[''],000000
002027,Selfapy,Seed,,2018-07-06,Think.Health,2.0,"['Stefan Rothlehner', 'Think.Health']",000000
002028,Seniovo,Seed,,2018-10-01,PT1,1.0,['PT1'],000934
002029,Sennder,Series A,,2018-06-15,"HV Capital, Project A Ventures",5.0,"['Dynamo', 'Flixfounders', 'HV Capital', 'Project A Ventures', 'Scania Growth Capital']",000935
002030,Service Partner ONE,Series B,,2018-02-21,EQT Ventures,6.0,"['Antheria Holding AG', 'EQT Ventures', 'German Startups Group', 'Rheingau Founders', 'Target Global', 'Vito Ventures']",000937
002031,Seven Lanes,Series A,,2018-01-01,STS Ventures,4.0,"['DvH Ventures', 'German Ventures', 'Global Founders Capital', 'STS Ventures']",000000
002032,Shelf.Network,Seed,1100000.0,2018-11-16,,,[''],000941
002033,Shelf.Network,Pre-Seed,124625.0,2018-01-22,Techstars,1.0,['Techstars'],000941
002034,Shotcaller Media,Pre-Seed,50000.0,2018-01-18,,1.0,['Next Media Accelerator'],000944
002035,Signatrix,Pre-Seed,,2018-04-11,,1.0,['Alfred Bauer'],000950
002036,Signavio,Series B,15500000.0,2018-03-20,Summit Partners,1.0,['Summit Partners'],000000
002037,simplesurance,Series C,24000000.0,2018-05-08,Allianz,3.0,"['Allianz', 'Rakuten Capital', 'Rheingau Founders']",000000
002038,Simplifa,Series A,,2018-09-10,,1.0,['BitStone Capital'],000952
002039,Simplifa,Seed,,2018-09-07,PT1,1.0,['PT1'],000952
002040,Sizolution,Seed,,2018-07-01,Ivan Bannikov,1.0,['Ivan Bannikov'],000957
002041,Smart Host GmbH,Series A,,2018-12-04,Venture Stars,3.0,"['Atlantic Labs', 'IBB Ventures', 'Venture Stars']",000962
002042,Smart Host GmbH,Seed,,2018-05-23,,2.0,"['Atlantic Labs', 'IBB Ventures']",000962
002043,Smarterials,Grant,71429.0,2018-09-01,,1.0,['EASME'],000965
002044,Smava,Series D,65000000.0,2018-01-09,Vitruvian Partners,2.0,"['Runa Capital', 'Vitruvian Partners']",000000
002045,Smoothr,Pre-Seed,380000.0,2018-11-10,,,[''],000966
002046,Snuk,Seed,,2018-05-28,,,[''],000000
002047,sofatutor,Series D,3000000.0,2018-02-14,Frog Capital,5.0,"['Acton Capital', 'Berlin.de', 'Cornelsen Verlag', 'Frog Capital', 'JCMB Beteiligungs']",000000
002048,Solaris,Series B,56600000.0,2018-03-08,Banco Bilbao Vizcaya Argentaria,6.0,"['ABN AMRO Ventures', 'Arvato Bertelsmann', 'Banco Bilbao Vizcaya Argentaria', 'Lakestar', 'SBI Group', 'Visa']",000974
002049,Solvemate,Venture - Series Unknown,,2018-11-15,"Picea Capital, Venture Stars",2.0,"['Picea Capital', 'Venture Stars']",000977
002050,Spomoco,Seed,96800.0,2018-02-16,Hiventures,1.0,['Hiventures'],000987
002051,Spomoco,Seed,310000.0,2018-06-27,,1.0,['Hiventures'],000987
002052,Spooning Cookie Dough,Seed,210000.0,2018-09-12,,1.0,['Ralf Dummel'],000989
002053,SPRT APP,Series A,1000000.0,2018-01-20,,,[''],000994
002054,Spryker,Series B,22000000.0,2018-02-13,One Peak,3.0,"['Cherry Ventures', 'One Peak', 'Project A Ventures']",000000
002055,StackFuel,Seed,500000.0,2018-03-23,,3.0,"['Frank Mies', 'FX Ventures', 'Sylvius Bardt']",000997
002056,StarBerry Games,Pre-Seed,325000.0,2018-02-14,Anton Gauffin,5.0,"['Alex Arias', 'Anton Gauffin', 'Gordon Thompson', 'Harri Manninen', 'Reaktor Ventures']",000999
002057,Statice,Pre-Seed,,2018-04-06,,,[''],000000
002058,Steady,Angel,100000.0,2018-03-03,,4.0,"['Andreas Dulger', 'Matthias Spiess', 'Peter Dietrich', 'Stefan Friese']",001001
002059,Steady,Angel,100000.0,2018-05-15,,1.0,['Peter Scheufen'],001001
